,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
0,0,0,0.0724,https://api.spotify.com/v1/audio-analysis/5mAxA6Q1SIym6dPNiFLUyd,0.545,205333,0.865,5mAxA6Q1SIym6dPNiFLUyd,4.79e-06,6,0.919,-2.6010000000000004,0,0.0522,89.992,4,https://api.spotify.com/v1/tracks/5mAxA6Q1SIym6dPNiFLUyd,audio_features,spotify:track:5mAxA6Q1SIym6dPNiFLUyd,0.332,All Night,Steve Aoki,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0.0789,https://api.spotify.com/v1/audio-analysis/0tPQPaOKM32WgMSbPCYyRH,0.721,172687,0.873,0tPQPaOKM32WgMSbPCYyRH,0.0,1,0.0824,-4.7410000000000005,1,0.119,79.943,4,https://api.spotify.com/v1/tracks/0tPQPaOKM32WgMSbPCYyRH,audio_features,spotify:track:0tPQPaOKM32WgMSbPCYyRH,0.552,Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,0.303,https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb,0.6579999999999999,199111,0.6779999999999999,5yFSF6qQA1rcLsQRnBsZgb,0.0,1,0.361,-4.407,1,0.058,97.976,4,https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb,audio_features,spotify:track:5yFSF6qQA1rcLsQRnBsZgb,0.662,All Falls Down,Alan Walker,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0.228,https://api.spotify.com/v1/audio-analysis/6TdweeWiGv35hKXn3tARjA,0.599,190769,0.897,6TdweeWiGv35hKXn3tARjA,0.0,0,0.5539999999999999,-2.7310000000000003,1,0.0435,156.016,4,https://api.spotify.com/v1/tracks/6TdweeWiGv35hKXn3tARjA,audio_features,spotify:track:6TdweeWiGv35hKXn3tARjA,0.931,You & Me,Marshmello,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0.0916,https://api.spotify.com/v1/audio-analysis/1f11Vwl6LXUXTKUuZpt4se,0.448,153231,0.805,1f11Vwl6LXUXTKUuZpt4se,0.905,2,0.138,-7.31,1,0.0583,129.971,4,https://api.spotify.com/v1/tracks/1f11Vwl6LXUXTKUuZpt4se,audio_features,spotify:track:1f11Vwl6LXUXTKUuZpt4se,0.0658,Love Is Dead,4B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,0.0206,https://api.spotify.com/v1/audio-analysis/3o6ZGE2eIH9Of2BSWVP6yB,0.74,245674,0.987,3o6ZGE2eIH9Of2BSWVP6yB,0.904,2,0.604,-6.2360000000000015,1,0.0395,126.993,4,https://api.spotify.com/v1/tracks/3o6ZGE2eIH9Of2BSWVP6yB,audio_features,spotify:track:3o6ZGE2eIH9Of2BSWVP6yB,0.17600000000000002,Men On Mars,HI-LO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,0.0017399999999999998,https://api.spotify.com/v1/audio-analysis/68urkayBu8QD63IRMjWVmn,0.556,214215,0.823,68urkayBu8QD63IRMjWVmn,0.916,2,0.262,-6.246,1,0.0435,120.986,4,https://api.spotify.com/v1/tracks/68urkayBu8QD63IRMjWVmn,audio_features,spotify:track:68urkayBu8QD63IRMjWVmn,0.0693,Aura Lusia,Matt Fax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,0.0128,https://api.spotify.com/v1/audio-analysis/79B7naQYN34s6lITPdToMQ,0.659,142521,0.946,79B7naQYN34s6lITPdToMQ,0.794,1,0.14800000000000002,-3.071,1,0.0504,128.019,4,https://api.spotify.com/v1/tracks/79B7naQYN34s6lITPdToMQ,audio_features,spotify:track:79B7naQYN34s6lITPdToMQ,0.487,Jetlag,Mike Williams,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,0.156,https://api.spotify.com/v1/audio-analysis/4yp4pNVchQvlsThtay0eQc,0.828,187752,0.447,4yp4pNVchQvlsThtay0eQc,0.000918,6,0.11,-9.789,1,0.0778,124.031,4,https://api.spotify.com/v1/tracks/4yp4pNVchQvlsThtay0eQc,audio_features,spotify:track:4yp4pNVchQvlsThtay0eQc,0.63,Give Me,Boye,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,0.177,https://api.spotify.com/v1/audio-analysis/4CIvBx8grkguEP8yew9Yil,0.723,203226,0.918,4CIvBx8grkguEP8yew9Yil,0.00825,8,0.121,-3.5860000000000003,0,0.123,124.031,4,https://api.spotify.com/v1/tracks/4CIvBx8grkguEP8yew9Yil,audio_features,spotify:track:4CIvBx8grkguEP8yew9Yil,0.908,Holding On,Lika Morgan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
