,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence,0
0,0.56,https://api.spotify.com/v1/audio-analysis/4gBzl7sX7yTjZIzvs9VFpN,Wynton Marsalis,0.494,155109.0,0.434,4gBzl7sX7yTjZIzvs9VFpN,1.98e-06,0.0,0.13,-9.642,1.0,"Jingle Bells - Spotify Singles – Holiday, Recorded at Spotify Studios NYC",0.0536,181.774,4.0,https://api.spotify.com/v1/tracks/4gBzl7sX7yTjZIzvs9VFpN,audio_features,spotify:track:4gBzl7sX7yTjZIzvs9VFpN,0.66,
1,0.452,https://api.spotify.com/v1/audio-analysis/0C0Bh8lqaUsrqNDVa6xNLC,Lydian Collective,0.685,292296.0,0.504,0C0Bh8lqaUsrqNDVa6xNLC,0.741,3.0,0.114,-8.106,1.0,Legend of Lumbar,0.028,110.998,3.0,https://api.spotify.com/v1/tracks/0C0Bh8lqaUsrqNDVa6xNLC,audio_features,spotify:track:0C0Bh8lqaUsrqNDVa6xNLC,0.424,
2,0.853,https://api.spotify.com/v1/audio-analysis/6ywTkW3G1o7q8bKWweeuPD,Chick Corea,0.541,399493.0,0.348,6ywTkW3G1o7q8bKWweeuPD,0.533,1.0,0.112,-16.472,0.0,Serenity,0.0344,157.232,3.0,https://api.spotify.com/v1/tracks/6ywTkW3G1o7q8bKWweeuPD,audio_features,spotify:track:6ywTkW3G1o7q8bKWweeuPD,0.582,
3,0.975,https://api.spotify.com/v1/audio-analysis/3e6ansnJY5NrRWCrm87nzG,Johannes Mössinger,0.462,441507.0,0.206,3e6ansnJY5NrRWCrm87nzG,0.901,3.0,0.12,-14.699,1.0,On The Street Where You Live,0.0416,83.285,4.0,https://api.spotify.com/v1/tracks/3e6ansnJY5NrRWCrm87nzG,audio_features,spotify:track:3e6ansnJY5NrRWCrm87nzG,0.553,
4,0.975,https://api.spotify.com/v1/audio-analysis/70IHZjP7W3vcbI3onnugJF,Till Brönner,0.644,280947.0,0.124,70IHZjP7W3vcbI3onnugJF,0.888,5.0,0.106,-17.873,0.0,A Thousand Kisses Deep,0.0624,79.469,4.0,https://api.spotify.com/v1/tracks/70IHZjP7W3vcbI3onnugJF,audio_features,spotify:track:70IHZjP7W3vcbI3onnugJF,0.26,
5,0.644,https://api.spotify.com/v1/audio-analysis/6PzAc1HvLaHl40phBYXDiT,Mopo,0.598,284507.0,0.356,6PzAc1HvLaHl40phBYXDiT,0.885,7.0,0.14,-10.194,1.0,Niin aikaisin,0.0376,106.685,4.0,https://api.spotify.com/v1/tracks/6PzAc1HvLaHl40phBYXDiT,audio_features,spotify:track:6PzAc1HvLaHl40phBYXDiT,0.402,
6,0.606,https://api.spotify.com/v1/audio-analysis/1DmpAweNohoDIZgILlFXGg,Julian Lage,0.592,231174.0,0.345,1DmpAweNohoDIZgILlFXGg,0.921,7.0,0.1,-11.562,1.0,Atlantic Limited,0.0306,128.119,4.0,https://api.spotify.com/v1/tracks/1DmpAweNohoDIZgILlFXGg,audio_features,spotify:track:1DmpAweNohoDIZgILlFXGg,0.369,
7,0.834,https://api.spotify.com/v1/audio-analysis/0bHTxku33zo3Qx5b8xmLMF,Darius Brubeck,0.52,465107.0,0.343,0bHTxku33zo3Qx5b8xmLMF,0.747,0.0,0.743,-17.243,1.0,A Salute to the Count (The Basie Band Is Back in Town) [Arr. Chris Brubeck],0.038,78.305,4.0,https://api.spotify.com/v1/tracks/0bHTxku33zo3Qx5b8xmLMF,audio_features,spotify:track:0bHTxku33zo3Qx5b8xmLMF,0.584,
8,0.59,https://api.spotify.com/v1/audio-analysis/0kae0Qjk2l6MOsIoxR3wNc,Lisa Hilton,0.524,204067.0,0.519,0kae0Qjk2l6MOsIoxR3wNc,0.835,7.0,0.147,-15.139,1.0,Meltdown,0.0317,90.346,4.0,https://api.spotify.com/v1/tracks/0kae0Qjk2l6MOsIoxR3wNc,audio_features,spotify:track:0kae0Qjk2l6MOsIoxR3wNc,0.915,
9,0.824,https://api.spotify.com/v1/audio-analysis/60okZC2cRnecKDpbxBSG1s,Kyle Eastwood,0.589,409827.0,0.401,60okZC2cRnecKDpbxBSG1s,0.827,3.0,0.138,-9.96,1.0,Movin',0.0559,128.714,4.0,https://api.spotify.com/v1/tracks/60okZC2cRnecKDpbxBSG1s,audio_features,spotify:track:60okZC2cRnecKDpbxBSG1s,0.344,
10,0.26,https://api.spotify.com/v1/audio-analysis/6Yk6AurDjFpEU0fgBIGGUE,Jamie Saft,0.397,344060.0,0.452,6Yk6AurDjFpEU0fgBIGGUE,0.0708,4.0,0.109,-15.713,0.0,The Barrier,0.0323,133.404,3.0,https://api.spotify.com/v1/tracks/6Yk6AurDjFpEU0fgBIGGUE,audio_features,spotify:track:6Yk6AurDjFpEU0fgBIGGUE,0.54,
11,0.711,https://api.spotify.com/v1/audio-analysis/1DoS5ql0TW3ejjJGHbsAmz,Masego,0.719,301639.0,0.487,1DoS5ql0TW3ejjJGHbsAmz,8.36e-05,9.0,0.0958,-6.21,0.0,Tadow,0.0604,121.729,4.0,https://api.spotify.com/v1/tracks/1DoS5ql0TW3ejjJGHbsAmz,audio_features,spotify:track:1DoS5ql0TW3ejjJGHbsAmz,0.345,
12,0.871,https://api.spotify.com/v1/audio-analysis/7c0XnawGmLY7tuRC8bC28Z,Ron Miles,0.598,326847.0,0.203,7c0XnawGmLY7tuRC8bC28Z,0.949,1.0,0.224,-17.531,0.0,Jasper,0.038,116.979,4.0,https://api.spotify.com/v1/tracks/7c0XnawGmLY7tuRC8bC28Z,audio_features,spotify:track:7c0XnawGmLY7tuRC8bC28Z,0.226,
13,0.932,https://api.spotify.com/v1/audio-analysis/4Zyo4ewxLAk6iU03OGrzfl,Thomas Fonnesbæk,0.469,336947.0,0.332,4Zyo4ewxLAk6iU03OGrzfl,0.905,11.0,0.104,-16.386,0.0,Semiosis,0.0284,91.241,4.0,https://api.spotify.com/v1/tracks/4Zyo4ewxLAk6iU03OGrzfl,audio_features,spotify:track:4Zyo4ewxLAk6iU03OGrzfl,0.415,
