,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
0,0,0,8.89e-05,https://api.spotify.com/v1/audio-analysis/5ERnPWGQc5QK7M7HW3rjC6,0.425,168440,0.622,5ERnPWGQc5QK7M7HW3rjC6,0.00164,4,0.17,-11.503,0,0.0744,162.474,4,https://api.spotify.com/v1/tracks/5ERnPWGQc5QK7M7HW3rjC6,audio_features,spotify:track:5ERnPWGQc5QK7M7HW3rjC6,0.376,Paranoid,Black Sabbath,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0.024,https://api.spotify.com/v1/audio-analysis/2RaA6kIcvomt77qlIgGhCT,0.362,153840,0.961,2RaA6kIcvomt77qlIgGhCT,9.35e-06,2,0.159,-5.664,1,0.0857,164.019,4,https://api.spotify.com/v1/tracks/2RaA6kIcvomt77qlIgGhCT,audio_features,spotify:track:2RaA6kIcvomt77qlIgGhCT,0.491,Breaking the Law,Judas Priest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,2,0.0103,https://api.spotify.com/v1/audio-analysis/2JS1iE5A5RHvUPH5Zl9jlF,0.221,233960,0.956,2JS1iE5A5RHvUPH5Zl9jlF,0.000523,0,0.195,-4.641,1,0.0876,173.25400000000005,4,https://api.spotify.com/v1/tracks/2JS1iE5A5RHvUPH5Zl9jlF,audio_features,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,0.4320000000000001,Run to the Hills - 1998 Remastered Version,Iron Maiden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,3,3,0.469,https://api.spotify.com/v1/audio-analysis/2tAeN2TKlQLOoSPXtARzBV,0.225,102080,0.6890000000000001,2tAeN2TKlQLOoSPXtARzBV,0.813,8,0.337,-9.12,1,0.0555,93.798,4,https://api.spotify.com/v1/tracks/2tAeN2TKlQLOoSPXtARzBV,audio_features,spotify:track:2tAeN2TKlQLOoSPXtARzBV,0.5,Eruption - 2015 Remastered Version,Van Halen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,4,4,0.000805,https://api.spotify.com/v1/audio-analysis/51TG9W3y9qyO8BY5RXKgnZ,0.61,246733,0.8909999999999999,51TG9W3y9qyO8BY5RXKgnZ,0.0928,4,0.0657,-5.452000000000001,0,0.0587,139.903,4,https://api.spotify.com/v1/tracks/51TG9W3y9qyO8BY5RXKgnZ,audio_features,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,0.51,Symphony Of Destruction - 2004 Digital Remaster,Megadeth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,5,5,0.00563,https://api.spotify.com/v1/audio-analysis/2S7dIlkIskYF2mv1R66O1m,0.518,309973,0.858,2S7dIlkIskYF2mv1R66O1m,0.00349,0,0.0598,-6.147,1,0.0672,117.897,4,https://api.spotify.com/v1/tracks/2S7dIlkIskYF2mv1R66O1m,audio_features,spotify:track:2S7dIlkIskYF2mv1R66O1m,0.249,For Whom The Bell Tolls - Remastered,Metallica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,6,6,0.004370000000000001,https://api.spotify.com/v1/audio-analysis/2SgbR6ttzoNlCRGQOKjrop,0.415,243533,0.908,2SgbR6ttzoNlCRGQOKjrop,0.0345,2,0.08199999999999999,-9.701,1,0.0765,114.816,4,https://api.spotify.com/v1/tracks/2SgbR6ttzoNlCRGQOKjrop,audio_features,spotify:track:2SgbR6ttzoNlCRGQOKjrop,0.4370000000000001,Cowboys From Hell,Pantera,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,7,7,0.00248,https://api.spotify.com/v1/audio-analysis/3AVZaAbDvR6rs2NN4n0aAF,0.321,166707,0.99,3AVZaAbDvR6rs2NN4n0aAF,0.0063100000000000005,6,0.0924,-4.461,1,0.204,140.57399999999998,4,https://api.spotify.com/v1/tracks/3AVZaAbDvR6rs2NN4n0aAF,audio_features,spotify:track:3AVZaAbDvR6rs2NN4n0aAF,0.209,Ace of Spades,Motörhead,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,8,8,0.00287,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,0.532,210173,0.767,2SiXAy7TuUkycRVbbWDEpo,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,audio_features,spotify:track:2SiXAy7TuUkycRVbbWDEpo,0.755,You Shook Me All Night Long,AC/DC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,9,7.06e-05,https://api.spotify.com/v1/audio-analysis/5qFxuUIAwJlzO60vqOiL7y,0.508,252693,0.912,5qFxuUIAwJlzO60vqOiL7y,0.403,9,0.0492,-8.049,0,0.0368,117.582,4,https://api.spotify.com/v1/tracks/5qFxuUIAwJlzO60vqOiL7y,audio_features,spotify:track:5qFxuUIAwJlzO60vqOiL7y,0.682,Rainbow In The Dark,Dio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
