,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
0,9.25e-06,https://api.spotify.com/v1/audio-analysis/7MHkweinOceprzkRWIYTTc,0.157,429199,0.987,7MHkweinOceprzkRWIYTTc,0.0628,9,0.151,-3.739,1,0.091,167.949,4,https://api.spotify.com/v1/tracks/7MHkweinOceprzkRWIYTTc,audio_features,spotify:track:7MHkweinOceprzkRWIYTTc,0.462,Spit Out the Bone,Metallica
1,0.000608,https://api.spotify.com/v1/audio-analysis/6NwbeybX6TDtXlpXvnUOZC,0.538,516293,0.872,6NwbeybX6TDtXlpXvnUOZC,0.573,4,0.0946,-7.658,0,0.0361,105.102,4,https://api.spotify.com/v1/tracks/6NwbeybX6TDtXlpXvnUOZC,audio_features,spotify:track:6NwbeybX6TDtXlpXvnUOZC,0.593,Master Of Puppets,Metallica
2,0.0505,https://api.spotify.com/v1/audio-analysis/3ZFwuJwUpIl0GeXsvF1ELf,0.558,388733,0.364,3ZFwuJwUpIl0GeXsvF1ELf,5.02e-06,4,0.0753,-11.258,0,0.0265,142.171,3,https://api.spotify.com/v1/tracks/3ZFwuJwUpIl0GeXsvF1ELf,audio_features,spotify:track:3ZFwuJwUpIl0GeXsvF1ELf,0.17,Nothing Else Matters,Metallica
3,0.175,https://api.spotify.com/v1/audio-analysis/4T0dCfi4KJvMWaarpazvkx,0.309,498836,0.697,4T0dCfi4KJvMWaarpazvkx,0.832,4,0.746,-10.474,0,0.0517,107.863,4,https://api.spotify.com/v1/tracks/4T0dCfi4KJvMWaarpazvkx,audio_features,spotify:track:4T0dCfi4KJvMWaarpazvkx,0.596,Master of Puppets (Late June 1985 Demo),Metallica
4,0.00206,https://api.spotify.com/v1/audio-analysis/1hKdDCpiI9mqz1jVHRKG0E,0.579,331573,0.824,1hKdDCpiI9mqz1jVHRKG0E,0.00903,6,0.059,-8.71,0,0.03,123.331,4,https://api.spotify.com/v1/tracks/1hKdDCpiI9mqz1jVHRKG0E,audio_features,spotify:track:1hKdDCpiI9mqz1jVHRKG0E,0.635,Enter Sandman,Metallica
5,0.00112,https://api.spotify.com/v1/audio-analysis/64Ret7Tf2M8pDE4aqbW2tX,0.444,447440,0.703,64Ret7Tf2M8pDE4aqbW2tX,0.0761,7,0.127,-9.443,1,0.0641,106.228,4,https://api.spotify.com/v1/tracks/64Ret7Tf2M8pDE4aqbW2tX,audio_features,spotify:track:64Ret7Tf2M8pDE4aqbW2tX,0.419,One,Metallica
6,0.000135,https://api.spotify.com/v1/audio-analysis/4A1jq5W97gi5ok44CgZiab,0.487,312707,0.944,4A1jq5W97gi5ok44CgZiab,0.601,11,0.0905,-6.78,0,0.0823,96.552,4,https://api.spotify.com/v1/tracks/4A1jq5W97gi5ok44CgZiab,audio_features,spotify:track:4A1jq5W97gi5ok44CgZiab,0.392,Battery,Metallica
7,4.36e-05,https://api.spotify.com/v1/audio-analysis/2HaCzKpKp0qmpJhdQscpN0,0.262,496627,0.895,2HaCzKpKp0qmpJhdQscpN0,0.456,4,0.0859,-9.766,0,0.08,90.414,4,https://api.spotify.com/v1/tracks/2HaCzKpKp0qmpJhdQscpN0,audio_features,spotify:track:2HaCzKpKp0qmpJhdQscpN0,0.403,Disposable Heroes (Remastered),Metallica
8,0.0108,https://api.spotify.com/v1/audio-analysis/5SnOyuBtyzufoXBAKOdcxD,0.539,387133,0.597,5SnOyuBtyzufoXBAKOdcxD,0.00552,7,0.134,-9.581,1,0.0258,139.444,4,https://api.spotify.com/v1/tracks/5SnOyuBtyzufoXBAKOdcxD,audio_features,spotify:track:5SnOyuBtyzufoXBAKOdcxD,0.251,The Unforgiven,Metallica
9,5.36e-06,https://api.spotify.com/v1/audio-analysis/77gY3WsOnEsq9JOWgBmdLj,0.511,304893,0.972,77gY3WsOnEsq9JOWgBmdLj,0.00101,10,0.19,-3.751,1,0.0413,132.97,4,https://api.spotify.com/v1/tracks/77gY3WsOnEsq9JOWgBmdLj,audio_features,spotify:track:77gY3WsOnEsq9JOWgBmdLj,0.532,Whiskey In The Jar,Metallica
10,0.00635,https://api.spotify.com/v1/audio-analysis/17rf2oZYDVymJeYI9ftDXc,0.518,309973,0.858,17rf2oZYDVymJeYI9ftDXc,0.00494,0,0.0652,-6.146,1,0.0685,117.909,4,https://api.spotify.com/v1/tracks/17rf2oZYDVymJeYI9ftDXc,audio_features,spotify:track:17rf2oZYDVymJeYI9ftDXc,0.261,For Whom The Bell Tolls (Remastered),Metallica
11,0.000773,https://api.spotify.com/v1/audio-analysis/5pQYjzkALsgYOcFTC8DMmU,0.632,324560,0.845,5pQYjzkALsgYOcFTC8DMmU,0.00152,7,0.0618,-6.336,1,0.0333,89.232,4,https://api.spotify.com/v1/tracks/5pQYjzkALsgYOcFTC8DMmU,audio_features,spotify:track:5pQYjzkALsgYOcFTC8DMmU,0.433,Sad But True,Metallica
12,0.00325,https://api.spotify.com/v1/audio-analysis/4kBsYpQBUbSIQNLTDF7es2,0.257,417227,0.929,4kBsYpQBUbSIQNLTDF7es2,0.209,7,0.11,-6.676,1,0.113,113.69,4,https://api.spotify.com/v1/tracks/4kBsYpQBUbSIQNLTDF7es2,audio_features,spotify:track:4kBsYpQBUbSIQNLTDF7es2,0.288,Fade To Black (Remastered),Metallica
13,1.15e-05,https://api.spotify.com/v1/audio-analysis/7myke8Id4WyKFlWcRBJdIF,0.13,191332,0.991,7myke8Id4WyKFlWcRBJdIF,0.00412,11,0.225,-3.126,1,0.0604,185.364,4,https://api.spotify.com/v1/tracks/7myke8Id4WyKFlWcRBJdIF,audio_features,spotify:track:7myke8Id4WyKFlWcRBJdIF,0.505,Hardwired,Metallica
14,0.000327,https://api.spotify.com/v1/audio-analysis/48Ih1FjoQ5KoCpsdKUk8Eu,0.331,387840,0.834,48Ih1FjoQ5KoCpsdKUk8Eu,0.124,0,0.104,-8.223,1,0.0344,104.817,4,https://api.spotify.com/v1/tracks/48Ih1FjoQ5KoCpsdKUk8Eu,audio_features,spotify:track:48Ih1FjoQ5KoCpsdKUk8Eu,0.381,Welcome Home (Sanitarium),Metallica
15,3.28e-05,https://api.spotify.com/v1/audio-analysis/5sEcwMeC3QDnSOWlyQyQ3E,0.169,350644,0.978,5sEcwMeC3QDnSOWlyQyQ3E,0.00395,4,0.0567,-3.37,0,0.0657,179.035,4,https://api.spotify.com/v1/tracks/5sEcwMeC3QDnSOWlyQyQ3E,audio_features,spotify:track:5sEcwMeC3QDnSOWlyQyQ3E,0.38,Moth Into Flame,Metallica
16,2.3e-05,https://api.spotify.com/v1/audio-analysis/0NdidkH0EQwG7mx6F6SDkI,0.491,269733,0.951,0NdidkH0EQwG7mx6F6SDkI,0.00354,1,0.0424,-3.775,1,0.0465,106.948,4,https://api.spotify.com/v1/tracks/0NdidkH0EQwG7mx6F6SDkI,audio_features,spotify:track:0NdidkH0EQwG7mx6F6SDkI,0.555,Fuel,Metallica
17,3.28e-05,https://api.spotify.com/v1/audio-analysis/7uSx9pDbxfFsXPyZ4pOm7H,0.419,388625,0.994,7uSx9pDbxfFsXPyZ4pOm7H,0.0192,9,0.0784,-3.191,0,0.0596,95.571,4,https://api.spotify.com/v1/tracks/7uSx9pDbxfFsXPyZ4pOm7H,audio_features,spotify:track:7uSx9pDbxfFsXPyZ4pOm7H,0.41,"Atlas, Rise!",Metallica
18,0.000526,https://api.spotify.com/v1/audio-analysis/4zJLpLsfY52ih6y8u4mhKH,0.554,404240,0.816,4zJLpLsfY52ih6y8u4mhKH,0.000711,11,0.0988,-7.871,1,0.0353,131.409,4,https://api.spotify.com/v1/tracks/4zJLpLsfY52ih6y8u4mhKH,audio_features,spotify:track:4zJLpLsfY52ih6y8u4mhKH,0.362,Wherever I May Roam,Metallica
19,0.000101,https://api.spotify.com/v1/audio-analysis/01LODLnhlfNphZ366BqKc0,0.566,419075,0.951,01LODLnhlfNphZ366BqKc0,0.103,2,0.266,-3.591,1,0.0464,128.304,4,https://api.spotify.com/v1/tracks/01LODLnhlfNphZ366BqKc0,audio_features,spotify:track:01LODLnhlfNphZ366BqKc0,0.345,Now That We're Dead,Metallica
20,0.0013,https://api.spotify.com/v1/audio-analysis/5qp4uB6muUB0qdrb4zpuf4,0.358,508000,0.691,5qp4uB6muUB0qdrb4zpuf4,0.901,9,0.127,-9.049,1,0.0399,128.501,4,https://api.spotify.com/v1/tracks/5qp4uB6muUB0qdrb4zpuf4,audio_features,spotify:track:5qp4uB6muUB0qdrb4zpuf4,0.371,Orion (Instrumental),Metallica
21,0.0364,https://api.spotify.com/v1/audio-analysis/6vVRtEW5T51Zd8qnyrshR1,0.439,414720,0.963,6vVRtEW5T51Zd8qnyrshR1,0.00896,9,0.0784,-5.508,1,0.277,140.805,4,https://api.spotify.com/v1/tracks/6vVRtEW5T51Zd8qnyrshR1,audio_features,spotify:track:6vVRtEW5T51Zd8qnyrshR1,0.435,Seek & Destroy (Remastered),Metallica
22,0.000114,https://api.spotify.com/v1/audio-analysis/26i37IFvFmC3517jxxZAJP,0.334,476267,0.986,26i37IFvFmC3517jxxZAJP,0.0353,4,0.0805,-1.046,0,0.0576,124.668,4,https://api.spotify.com/v1/tracks/26i37IFvFmC3517jxxZAJP,audio_features,spotify:track:26i37IFvFmC3517jxxZAJP,0.48,The Day That Never Comes,Metallica
