,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal
0,0.000721,https://api.spotify.com/v1/audio-analysis/01ICFoBoco3TaM5r3HthXy,0.539,515387,0.828,01ICFoBoco3TaM5r3HthXy,0.438,4,0.198,9.11,0,0.0361,105.303,4,https://api.spotify.com/v1/tracks/01ICFoBoco3TaM5r3HthXy,audio_features,spotify:track:01ICFoBoco3TaM5r3HthXy,0.587,Master Of Puppets,Metallica,1,0,0,0,0,0
1,0.0176,https://api.spotify.com/v1/audio-analysis/7oGWqVwmgwGBYXkW4cROlK,0.358,314373,0.806,7oGWqVwmgwGBYXkW4cROlK,0.00252,7,0.0982,8.924,1,0.0677,158.777,4,https://api.spotify.com/v1/tracks/7oGWqVwmgwGBYXkW4cROlK,audio_features,spotify:track:7oGWqVwmgwGBYXkW4cROlK,0.578,Over and Over Again,The Used,1,0,0,0,0,0
2,0.00184,https://api.spotify.com/v1/audio-analysis/7nAfXgeHfDO50upcOjJOaq,0.593,231307,0.712,7nAfXgeHfDO50upcOjJOaq,0.0,2,0.128,6.325,0,0.0286,124.013,4,https://api.spotify.com/v1/tracks/7nAfXgeHfDO50upcOjJOaq,audio_features,spotify:track:7nAfXgeHfDO50upcOjJOaq,0.473,Talking to Myself,Linkin Park,1,0,0,0,0,0
3,0.000115,https://api.spotify.com/v1/audio-analysis/4U9arGcc4ATa7shChhLQP0,0.494,188228,0.778,4U9arGcc4ATa7shChhLQP0,0.0,8,0.0904,7.041,1,0.0359,139.963,4,https://api.spotify.com/v1/tracks/4U9arGcc4ATa7shChhLQP0,audio_features,spotify:track:4U9arGcc4ATa7shChhLQP0,0.406,Walk On Water,Thirty Seconds To Mars,1,0,0,0,0,0
4,0.000209,https://api.spotify.com/v1/audio-analysis/6JSryEdVJTZq6YBn3wK2sn,0.515,266187,0.917,6JSryEdVJTZq6YBn3wK2sn,0.000476,1,0.145,7.312,1,0.0417,121.988,4,https://api.spotify.com/v1/tracks/6JSryEdVJTZq6YBn3wK2sn,audio_features,spotify:track:6JSryEdVJTZq6YBn3wK2sn,0.409,Arrows,Foo Fighters,1,0,0,0,0,0
5,0.0477,https://api.spotify.com/v1/audio-analysis/54RaEDwHbCJKMdDq68EyKE,0.367,281781,0.903,54RaEDwHbCJKMdDq68EyKE,0.00124,4,0.235,5.956,0,0.175,106.329,3,https://api.spotify.com/v1/tracks/54RaEDwHbCJKMdDq68EyKE,audio_features,spotify:track:54RaEDwHbCJKMdDq68EyKE,0.239,The Doomed,A Perfect Circle,1,0,0,0,0,0
6,5.86e-06,https://api.spotify.com/v1/audio-analysis/4moZ8avSDXYdJhMYwL60kW,0.431,234880,0.975,4moZ8avSDXYdJhMYwL60kW,0.667,1,0.552,3.978,1,0.0429,137.013,4,https://api.spotify.com/v1/tracks/4moZ8avSDXYdJhMYwL60kW,audio_features,spotify:track:4moZ8avSDXYdJhMYwL60kW,0.715,Holy Mountain,Noel Gallagher's High Flying Birds,1,0,0,0,0,0
7,0.00177,https://api.spotify.com/v1/audio-analysis/51txLjbvSBRvtxjCjAFLkM,0.568,197933,0.871,51txLjbvSBRvtxjCjAFLkM,0.000406,1,0.36,5.235,1,0.0494,133.064,4,https://api.spotify.com/v1/tracks/51txLjbvSBRvtxjCjAFLkM,audio_features,spotify:track:51txLjbvSBRvtxjCjAFLkM,0.693,How Did We Get So Dark?,Royal Blood,1,0,0,0,0,0
8,0.00257,https://api.spotify.com/v1/audio-analysis/45HAjqRWiNv6mMPw4NvZrU,0.447,193714,0.788,45HAjqRWiNv6mMPw4NvZrU,1.68e-05,2,0.0744,4.994,0,0.0464,80.04,4,https://api.spotify.com/v1/tracks/45HAjqRWiNv6mMPw4NvZrU,audio_features,spotify:track:45HAjqRWiNv6mMPw4NvZrU,0.505,Come Together,Gary Clark Jr.,1,0,0,0,0,0
9,0.0379,https://api.spotify.com/v1/audio-analysis/2jA5Vp93KvnH0tXN6Fpwvl,0.562,202507,0.588,2jA5Vp93KvnH0tXN6Fpwvl,4.84e-05,3,0.0663,5.564,0,0.122,136.162,4,https://api.spotify.com/v1/tracks/2jA5Vp93KvnH0tXN6Fpwvl,audio_features,spotify:track:2jA5Vp93KvnH0tXN6Fpwvl,0.65,Spray Paint Love,Frank Carter & The Rattlesnakes,1,0,0,0,0,0
10,0.000137,https://api.spotify.com/v1/audio-analysis/6DUolTlHrEeRQInGqz4CaN,0.468,189506,0.964,6DUolTlHrEeRQInGqz4CaN,0.0,10,0.215,5.144,0,0.15,138.006,4,https://api.spotify.com/v1/tracks/6DUolTlHrEeRQInGqz4CaN,audio_features,spotify:track:6DUolTlHrEeRQInGqz4CaN,0.392,Sublimated,Ego Kill Talent,1,0,0,0,0,0
11,0.00502,https://api.spotify.com/v1/audio-analysis/56lBX2WHqfGuoeZxZvUnVj,0.601,187761,0.834,56lBX2WHqfGuoeZxZvUnVj,0.15,0,0.121,3.78,1,0.0455,167.879,4,https://api.spotify.com/v1/tracks/56lBX2WHqfGuoeZxZvUnVj,audio_features,spotify:track:56lBX2WHqfGuoeZxZvUnVj,0.249,Thunder,Imagine Dragons,1,0,0,0,0,0
12,0.00057,https://api.spotify.com/v1/audio-analysis/5heRJEokcKygT588ZXjYXn,0.264,390579,0.882,5heRJEokcKygT588ZXjYXn,0.111,7,0.283,4.362,1,0.0795,85.508,4,https://api.spotify.com/v1/tracks/5heRJEokcKygT588ZXjYXn,audio_features,spotify:track:5heRJEokcKygT588ZXjYXn,0.766,The Evil Has Landed,Queens of the Stone Age,1,0,0,0,0,0
13,0.00746,https://api.spotify.com/v1/audio-analysis/2DrFBNqxtpyvFlG3qMZiya,0.489,251631,0.835,2DrFBNqxtpyvFlG3qMZiya,0.0,0,0.146,4.448,1,0.0332,145.885,4,https://api.spotify.com/v1/tracks/2DrFBNqxtpyvFlG3qMZiya,audio_features,spotify:track:2DrFBNqxtpyvFlG3qMZiya,0.444,For What It's Worth,Liam Gallagher,1,0,0,0,0,0
14,0.00136,https://api.spotify.com/v1/audio-analysis/0GZ8pk5BsSG2GmI06xj1y7,0.437,239720,0.87,0GZ8pk5BsSG2GmI06xj1y7,0.0323,0,0.216,9.359,1,0.0609,114.553,4,https://api.spotify.com/v1/tracks/0GZ8pk5BsSG2GmI06xj1y7,audio_features,spotify:track:0GZ8pk5BsSG2GmI06xj1y7,0.278,distopia,Scalene,1,0,0,0,0,0
15,0.0557,https://api.spotify.com/v1/audio-analysis/3tA2Khh4RpQThUoX22PQAG,0.534,230697,0.615,3tA2Khh4RpQThUoX22PQAG,2.16e-06,11,0.0992,5.411,0,0.0389,141.915,4,https://api.spotify.com/v1/tracks/3tA2Khh4RpQThUoX22PQAG,audio_features,spotify:track:3tA2Khh4RpQThUoX22PQAG,0.397,Legendary,Welshly Arms,1,0,0,0,0,0
16,2.87e-05,https://api.spotify.com/v1/audio-analysis/3J4Avf3ZJ6jkM2KX2ucS0B,0.463,245204,0.956,3J4Avf3ZJ6jkM2KX2ucS0B,0.0,2,0.141,4.374,1,0.152,130.044,4,https://api.spotify.com/v1/tracks/3J4Avf3ZJ6jkM2KX2ucS0B,audio_features,spotify:track:3J4Avf3ZJ6jkM2KX2ucS0B,0.202,Never Quit,Hills Have Eyes,1,0,0,0,0,0
17,0.00224,https://api.spotify.com/v1/audio-analysis/0Ba6CQOhO2GfPezc0mSsPF,0.407,340627,0.838,0Ba6CQOhO2GfPezc0mSsPF,0.0251,7,0.0556,8.369,0,0.0826,155.069,4,https://api.spotify.com/v1/tracks/0Ba6CQOhO2GfPezc0mSsPF,audio_features,spotify:track:0Ba6CQOhO2GfPezc0mSsPF,0.662,Angels,Avenged Sevenfold,1,0,0,0,0,0
18,2.08e-05,https://api.spotify.com/v1/audio-analysis/25DfYJr3P66JuMDcOWtw8u,0.278,276093,0.975,25DfYJr3P66JuMDcOWtw8u,0.0527,10,0.671,4.151,0,0.193,152.635,4,https://api.spotify.com/v1/tracks/25DfYJr3P66JuMDcOWtw8u,audio_features,spotify:track:25DfYJr3P66JuMDcOWtw8u,0.187,Psychosocial - Live,Slipknot,1,0,0,0,0,0
19,9.86e-05,https://api.spotify.com/v1/audio-analysis/76ro3Y5aWGQgMMmCblq7yH,0.477,193577,0.976,76ro3Y5aWGQgMMmCblq7yH,0.0022,2,0.119,4.337,1,0.0833,150.001,4,https://api.spotify.com/v1/tracks/76ro3Y5aWGQgMMmCblq7yH,audio_features,spotify:track:76ro3Y5aWGQgMMmCblq7yH,0.218,Warzone,Of Mice & Men,1,0,0,0,0,0
20,0.000799,https://api.spotify.com/v1/audio-analysis/5vFshmrfuOng89bVtW33J9,0.358,244573,0.549,5vFshmrfuOng89bVtW33J9,0.00503,11,0.22,7.843,0,0.0693,130.733,4,https://api.spotify.com/v1/tracks/5vFshmrfuOng89bVtW33J9,audio_features,spotify:track:5vFshmrfuOng89bVtW33J9,0.533,The Sky Is A Neighborhood,Foo Fighters,1,0,0,0,0,0
