,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence,0
0,0.0296,https://api.spotify.com/v1/audio-analysis/61QkubO5ny4DtTFoOaIRGg,18 Carat Affair,0.591,98772.0,0.883,61QkubO5ny4DtTFoOaIRGg,0.817,7.0,0.108,-7.527,1.0,Desire,0.0592,99.192,4.0,https://api.spotify.com/v1/tracks/61QkubO5ny4DtTFoOaIRGg,audio_features,spotify:track:61QkubO5ny4DtTFoOaIRGg,0.841,
1,0.0155,https://api.spotify.com/v1/audio-analysis/6pDnccriJzA9ntXMXFyjG2,18 Carat Affair,0.587,72639.0,0.84,6pDnccriJzA9ntXMXFyjG2,0.814,1.0,0.287,-8.376,1.0,Passion,0.0328,111.759,4.0,https://api.spotify.com/v1/tracks/6pDnccriJzA9ntXMXFyjG2,audio_features,spotify:track:6pDnccriJzA9ntXMXFyjG2,0.835,
2,0.000243,https://api.spotify.com/v1/audio-analysis/7pm2FfEU1UsP3GhbHFFb9i,ESPRIT 空想,0.528,164835.0,0.913,7pm2FfEU1UsP3GhbHFFb9i,0.811,1.0,0.0858,-4.081,1.0,Pizza Day,0.0445,146.297,4.0,https://api.spotify.com/v1/tracks/7pm2FfEU1UsP3GhbHFFb9i,audio_features,spotify:track:7pm2FfEU1UsP3GhbHFFb9i,0.66,
3,0.0459,https://api.spotify.com/v1/audio-analysis/2TjAHMFLFsKdXXqaePxwC6,luxury elite,0.522,161278.0,0.844,2TjAHMFLFsKdXXqaePxwC6,0.198,10.0,0.365,-10.905,0.0,Midnight,0.0428,154.654,4.0,https://api.spotify.com/v1/tracks/2TjAHMFLFsKdXXqaePxwC6,audio_features,spotify:track:2TjAHMFLFsKdXXqaePxwC6,0.673,
4,0.228,https://api.spotify.com/v1/audio-analysis/4CwByRtQjwkrnOjWNINV0z,luxury elite,0.721,106581.0,0.707,4CwByRtQjwkrnOjWNINV0z,0.856,11.0,0.087,-12.657,0.0,Island,0.0518,145.623,4.0,https://api.spotify.com/v1/tracks/4CwByRtQjwkrnOjWNINV0z,audio_features,spotify:track:4CwByRtQjwkrnOjWNINV0z,0.61,
5,0.271,https://api.spotify.com/v1/audio-analysis/38k3otUd41zKhvUvZU7iUZ,luxury elite,0.609,78252.0,0.77,38k3otUd41zKhvUvZU7iUZ,0.921,10.0,0.934,-11.134,0.0,Totally Rad,0.0386,110.357,4.0,https://api.spotify.com/v1/tracks/38k3otUd41zKhvUvZU7iUZ,audio_features,spotify:track:38k3otUd41zKhvUvZU7iUZ,0.538,
6,0.0593,https://api.spotify.com/v1/audio-analysis/4d2CQtygtFEeivp2BheIYz,luxury elite,0.628,63669.0,0.83,4d2CQtygtFEeivp2BheIYz,0.962,8.0,0.229,-9.398,0.0,Mall Madness,0.0344,181.929,4.0,https://api.spotify.com/v1/tracks/4d2CQtygtFEeivp2BheIYz,audio_features,spotify:track:4d2CQtygtFEeivp2BheIYz,0.968,
7,0.00593,https://api.spotify.com/v1/audio-analysis/2BYdcKIWihsbkW7sPJoC42,luxury elite,0.615,106749.0,0.75,2BYdcKIWihsbkW7sPJoC42,0.736,8.0,0.189,-9.895,1.0,Wave,0.026,110.432,4.0,https://api.spotify.com/v1/tracks/2BYdcKIWihsbkW7sPJoC42,audio_features,spotify:track:2BYdcKIWihsbkW7sPJoC42,0.946,
8,0.194,https://api.spotify.com/v1/audio-analysis/2ZwkmRAFbyjU06Y0BTVbAx,ESPRIT 空想,0.272,179775.0,0.827,2ZwkmRAFbyjU06Y0BTVbAx,0.00463,3.0,0.758,-6.947,0.0,Summer Night,0.336,143.357,4.0,https://api.spotify.com/v1/tracks/2ZwkmRAFbyjU06Y0BTVbAx,audio_features,spotify:track:2ZwkmRAFbyjU06Y0BTVbAx,0.25,
9,0.144,https://api.spotify.com/v1/audio-analysis/2xLThORseBWz1hhG7eFJpM,18 Carat Affair,0.59,172183.0,0.686,2xLThORseBWz1hhG7eFJpM,0.829,11.0,0.0999,-12.817,1.0,Watching Your Dance,0.0339,135.855,3.0,https://api.spotify.com/v1/tracks/2xLThORseBWz1hhG7eFJpM,audio_features,spotify:track:2xLThORseBWz1hhG7eFJpM,0.721,
10,0.43,https://api.spotify.com/v1/audio-analysis/0LcK3iOxozb6APK4NwJrjc,18 Carat Affair,0.583,82412.0,0.576,0LcK3iOxozb6APK4NwJrjc,0.779,6.0,0.168,-8.902,0.0,Pretty Girls I Don't Know Anymore,0.164,84.66,4.0,https://api.spotify.com/v1/tracks/0LcK3iOxozb6APK4NwJrjc,audio_features,spotify:track:0LcK3iOxozb6APK4NwJrjc,0.673,
11,0.00418,https://api.spotify.com/v1/audio-analysis/5lxGff9t9Yv68YX2ar5eca,18 Carat Affair,0.49,74092.0,0.704,5lxGff9t9Yv68YX2ar5eca,0.0157,7.0,0.185,-8.445,0.0,Paid Programming,0.107,65.955,4.0,https://api.spotify.com/v1/tracks/5lxGff9t9Yv68YX2ar5eca,audio_features,spotify:track:5lxGff9t9Yv68YX2ar5eca,0.735,
12,0.348,https://api.spotify.com/v1/audio-analysis/5dJ0uTmnt3fmmfoSlQcovA,Dreams West,0.548,254400.0,0.884,5dJ0uTmnt3fmmfoSlQcovA,0.927,0.0,0.135,-8.793,1.0,Tribes,0.0485,99.941,4.0,https://api.spotify.com/v1/tracks/5dJ0uTmnt3fmmfoSlQcovA,audio_features,spotify:track:5dJ0uTmnt3fmmfoSlQcovA,0.291,
13,0.256,https://api.spotify.com/v1/audio-analysis/1BMCzEHJCXBcXrWMHS7Imc,Dreams West,0.332,224000.0,0.892,1BMCzEHJCXBcXrWMHS7Imc,0.957,9.0,0.114,-8.879,0.0,Omni Island,0.0429,194.064,4.0,https://api.spotify.com/v1/tracks/1BMCzEHJCXBcXrWMHS7Imc,audio_features,spotify:track:1BMCzEHJCXBcXrWMHS7Imc,0.115,
14,0.879,https://api.spotify.com/v1/audio-analysis/1KDgPUGv3GqcVNA2GD1zmc,Infinity Frequencies,0.558,179095.0,0.752,1KDgPUGv3GqcVNA2GD1zmc,0.854,8.0,0.219,-9.323,1.0,Lost Dreams,0.0617,112.947,4.0,https://api.spotify.com/v1/tracks/1KDgPUGv3GqcVNA2GD1zmc,audio_features,spotify:track:1KDgPUGv3GqcVNA2GD1zmc,0.325,
15,0.115,https://api.spotify.com/v1/audio-analysis/744D95MXJOmZq0q0EI01zF,Infinity Frequencies,0.588,92195.0,0.645,744D95MXJOmZq0q0EI01zF,0.973,7.0,0.191,-7.279,1.0,Breeze,0.035,93.693,4.0,https://api.spotify.com/v1/tracks/744D95MXJOmZq0q0EI01zF,audio_features,spotify:track:744D95MXJOmZq0q0EI01zF,0.0698,
16,0.074,https://api.spotify.com/v1/audio-analysis/0Jhu3ZQDdvOuh3RIzgIYUb,Navigateur,0.552,220291.0,0.67,0Jhu3ZQDdvOuh3RIzgIYUb,0.793,1.0,0.0969,-11.926,1.0,Everywhere,0.164,91.531,4.0,https://api.spotify.com/v1/tracks/0Jhu3ZQDdvOuh3RIzgIYUb,audio_features,spotify:track:0Jhu3ZQDdvOuh3RIzgIYUb,0.23,
17,2.89e-05,https://api.spotify.com/v1/audio-analysis/32yBUUjbauDSFCJY6xzfUR,Vektroid,0.381,314070.0,0.535,32yBUUjbauDSFCJY6xzfUR,0.338,9.0,0.526,-13.983,1.0,NEO MIAMI,0.0686,72.358,4.0,https://api.spotify.com/v1/tracks/32yBUUjbauDSFCJY6xzfUR,audio_features,spotify:track:32yBUUjbauDSFCJY6xzfUR,0.208,
18,0.000118,https://api.spotify.com/v1/audio-analysis/2FDJTo05zVmswy9x1FjlAa,Skylar Spence,0.571,228119.0,0.805,2FDJTo05zVmswy9x1FjlAa,0.816,10.0,0.0672,-6.413,0.0,Private Caller,0.196,101.01,4.0,https://api.spotify.com/v1/tracks/2FDJTo05zVmswy9x1FjlAa,audio_features,spotify:track:2FDJTo05zVmswy9x1FjlAa,0.61,
19,0.00172,https://api.spotify.com/v1/audio-analysis/5EeMcudBJvuhTK9iDClP7m,Vektroid,0.495,531069.0,0.617,5EeMcudBJvuhTK9iDClP7m,0.656,11.0,0.427,-15.701,1.0,Color Ocean,0.0478,75.137,4.0,https://api.spotify.com/v1/tracks/5EeMcudBJvuhTK9iDClP7m,audio_features,spotify:track:5EeMcudBJvuhTK9iDClP7m,0.103,
20,0.00256,https://api.spotify.com/v1/audio-analysis/0jIyCKqHXbCKBXwEufPOZZ,Vektroid,0.484,277551.0,0.587,0jIyCKqHXbCKBXwEufPOZZ,0.609,2.0,0.604,-15.751,1.0,Seafoam Island,0.0403,116.595,4.0,https://api.spotify.com/v1/tracks/0jIyCKqHXbCKBXwEufPOZZ,audio_features,spotify:track:0jIyCKqHXbCKBXwEufPOZZ,0.15,
21,0.00649,https://api.spotify.com/v1/audio-analysis/2meJBFhorHxB1Sg2UXH2A9,Vektroid,0.478,349336.0,0.669,2meJBFhorHxB1Sg2UXH2A9,0.881,2.0,0.088,-7.778,1.0,CALM DOWN,0.0516,80.962,4.0,https://api.spotify.com/v1/tracks/2meJBFhorHxB1Sg2UXH2A9,audio_features,spotify:track:2meJBFhorHxB1Sg2UXH2A9,0.0928,
22,0.00169,https://api.spotify.com/v1/audio-analysis/1dcmLRHP5J9CnXvmfIe3hE,Vektroid,0.529,267416.0,0.471,1dcmLRHP5J9CnXvmfIe3hE,0.477,6.0,0.0853,-13.427,0.0,SPLASH,0.0793,78.971,4.0,https://api.spotify.com/v1/tracks/1dcmLRHP5J9CnXvmfIe3hE,audio_features,spotify:track:1dcmLRHP5J9CnXvmfIe3hE,0.278,
23,0.00399,https://api.spotify.com/v1/audio-analysis/4QDrXWbW4pIvXn4aRlPMlT,Vektroid,0.555,455027.0,0.697,4QDrXWbW4pIvXn4aRlPMlT,0.105,7.0,0.286,-11.241,0.0,YR HEART,0.0916,91.003,4.0,https://api.spotify.com/v1/tracks/4QDrXWbW4pIvXn4aRlPMlT,audio_features,spotify:track:4QDrXWbW4pIvXn4aRlPMlT,0.0666,
24,0.0123,https://api.spotify.com/v1/audio-analysis/1amdyxHN8pMaSafNSzcdKE,Teams,0.769,202905.0,0.897,1amdyxHN8pMaSafNSzcdKE,0.0965,4.0,0.0723,-4.185,0.0,Love Distance,0.199,96.973,4.0,https://api.spotify.com/v1/tracks/1amdyxHN8pMaSafNSzcdKE,audio_features,spotify:track:1amdyxHN8pMaSafNSzcdKE,0.179,
25,0.00109,https://api.spotify.com/v1/audio-analysis/5fgZv37iE8pDNOcmQRvhFL,Teams,0.702,326374.0,0.852,5fgZv37iE8pDNOcmQRvhFL,0.893,6.0,0.102,-6.337,1.0,Stunts,0.101,97.085,4.0,https://api.spotify.com/v1/tracks/5fgZv37iE8pDNOcmQRvhFL,audio_features,spotify:track:5fgZv37iE8pDNOcmQRvhFL,0.519,
26,0.00497,https://api.spotify.com/v1/audio-analysis/69zaxQuSW2n5ZpMLp7Mvbl,Teams,0.831,236382.0,0.872,69zaxQuSW2n5ZpMLp7Mvbl,0.927,11.0,0.24,-2.799,0.0,Based Love,0.117,129.979,4.0,https://api.spotify.com/v1/tracks/69zaxQuSW2n5ZpMLp7Mvbl,audio_features,spotify:track:69zaxQuSW2n5ZpMLp7Mvbl,0.329,
27,5.02e-05,https://api.spotify.com/v1/audio-analysis/0CcXpIGyLe2lEXN21rhSXm,Capo Blanco,0.492,129600.0,0.731,0CcXpIGyLe2lEXN21rhSXm,0.828,0.0,0.116,-10.259,1.0,The Skyline Flowers,0.0322,73.999,4.0,https://api.spotify.com/v1/tracks/0CcXpIGyLe2lEXN21rhSXm,audio_features,spotify:track:0CcXpIGyLe2lEXN21rhSXm,0.441,
28,0.189,https://api.spotify.com/v1/audio-analysis/07iwaBDYV4SSMUY3Q81RVq,Navigateur,0.334,372637.0,0.697,07iwaBDYV4SSMUY3Q81RVq,0.0699,9.0,0.318,-9.586,1.0,"I Know I'm Falling, But I'm Still Here",0.072,90.0,4.0,https://api.spotify.com/v1/tracks/07iwaBDYV4SSMUY3Q81RVq,audio_features,spotify:track:07iwaBDYV4SSMUY3Q81RVq,0.328,
