,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0.268,0.841,0.0,5,0.118,5.818,0,0.0508,132.026,4,0.479
1,0.805,0.678,0.0,11,0.07,7.691,0,0.0408,123.742,4,0.679
2,0.622,0.716,0.0,1,0.427,8.52,1,0.382,95.1,4,0.378
3,0.108,0.815,0.0,6,0.0968,5.539,0,0.105,128.999,4,0.465
4,0.0504,0.713,0.0,10,0.26,12.733,0,0.589,83.735,4,0.516
5,0.218,0.782,0.0,7,0.168,9.762,1,0.081,94.996,4,0.653
6,0.168,0.588,0.0,8,0.184,8.084,1,0.226,76.892,4,0.824
7,0.0616,0.509,0.0,2,0.107,12.545,1,0.393,78.43,4,0.274
8,0.181,0.702,0.0,1,0.0959,4.131,1,0.204,77.602,4,0.346
9,0.163,0.853,0.0,2,0.0849,8.885,1,0.147,127.039,4,0.29
10,0.473,0.681,3.3e-05,7,0.162,8.104,1,0.0302,99.98,4,0.0775
11,0.424,0.689,0.0,4,0.117,5.996,0,0.0693,138.076,4,0.48
12,0.426,0.931,0.000856,0,0.0879,9.477,1,0.275,103.98,4,0.289
13,0.13,0.76,0.0,1,0.134,6.683,1,0.151,131.983,4,0.276
14,0.111,0.771,2.03e-06,9,0.318,6.543,0,0.0482,135.012,4,0.823
15,0.103,0.736,0.000294,1,0.169,12.698,1,0.248,91.93,4,0.663
16,0.273,0.86,7.15e-06,1,0.114,8.592,0,0.411,130.05,4,0.694
17,0.0373,0.757,0.0,6,0.141,4.479,1,0.112,98.042,4,0.521
18,0.245,0.739,0.0,1,0.0921,11.388,1,0.32,135.03,4,0.386
19,0.0687,0.835,0.0,7,0.0994,7.43,1,0.467,79.081,4,0.805
20,0.0733,0.731,0.0,1,0.345,9.588,0,0.155,85.135,4,0.823
21,0.0944,0.797,6.91e-06,10,0.38,4.704,1,0.157,124.939,4,0.21
22,0.838,0.803,0.0,0,0.572,13.111,1,0.202,133.956,4,0.288
23,0.184,0.683,0.0,1,0.0968,6.64,1,0.0823,81.05,4,0.71
24,0.229,0.506,0.0,7,0.183,6.827,0,0.3,114.982,4,0.597
25,0.176,0.631,0.0,10,0.326,4.143,0,0.405,187.735,4,0.79
26,0.252,0.667,1.31e-06,1,0.0835,7.658,0,0.227,88.981,4,0.491
27,0.579,0.884,0.0,2,0.0745,9.046,0,0.349,136.882,4,0.799
28,0.307,0.906,0.000538,11,0.213,10.403,1,0.0573,130.032,4,0.523
29,0.841,0.555,0.0,7,0.106,11.026,1,0.222,186.581,4,0.705
30,0.288,0.762,0.0,1,0.123,6.635,0,0.429,83.015,4,0.694
31,0.211,0.606,0.0,5,0.125,10.524,0,0.427,120.121,4,0.23
32,0.258,0.764,0.0,4,0.11,6.121,0,0.518,92.659,4,0.73
33,0.114,0.726,0.0,2,0.163,7.516,0,0.17,130.174,4,0.403
34,0.235,0.766,0.0,9,0.0958,5.411,0,0.315,125.009,4,0.379
35,0.222,0.69,4.39e-06,8,0.116,7.22,1,0.251,150.028,4,0.752
36,0.155,0.838,0.0,6,0.0881,5.285,0,0.44,89.898,4,0.611
37,0.00643,0.533,0.0,1,0.152,7.535,1,0.296,175.982,4,0.468
38,0.435,0.762,4.17e-05,4,0.107,5.757,0,0.125,109.979,4,0.18
39,0.0504,0.94,0.0,9,0.172,7.941,0,0.35,120.045,4,0.397
40,0.224,0.83,0.0,4,0.303,5.91,0,0.414,88.116,4,0.694
41,0.601,0.813,0.0,1,0.0971,8.901,1,0.0835,111.995,4,0.179
42,0.0957,0.729,0.0,6,0.134,7.819,0,0.291,148.18,4,0.489
43,0.351,0.472,0.0,6,0.0888,10.326,1,0.259,169.771,4,0.226
44,0.605,0.804,0.0,1,0.097,8.938,1,0.108,112.006,4,0.177
45,0.165,0.676,0.0,1,0.113,4.141,0,0.275,173.96,4,0.483
46,0.517,0.73,0.0,3,0.241,6.959,0,0.352,90.011,4,0.593
47,0.0851,0.943,0.0,11,0.141,5.37,1,0.18,130.039,4,0.869
48,0.00166,0.74,0.000171,7,0.395,4.265,1,0.0556,150.0,4,0.423
49,0.177,0.628,0.0,10,0.095,6.741,0,0.216,87.986,4,0.668
0,0.39,0.754,0.000433,7,0.105,8.515,0,0.0397,121.005,4,0.357
1,0.215,0.701,0.0,2,0.188,7.719,1,0.279,129.72,4,0.485
2,0.171,0.585,0.0,6,0.15,10.648,0,0.75,79.938,4,0.627
3,0.0504,0.713,0.0,10,0.26,12.733,0,0.589,83.735,4,0.516
4,0.152,0.638,0.0,8,0.14,9.402,0,0.255,89.935,4,0.412
5,0.261,0.793,0.0,11,0.643,7.465,0,0.301,123.022,4,0.647
6,0.129,0.827,2.82e-06,9,0.0936,9.111,0,0.0579,127.976,4,0.343
7,0.24,0.678,0.0,8,0.107,7.628,1,0.0572,93.489,4,0.22
8,0.00953,0.724,2.81e-06,2,0.0986,11.502,1,0.241,143.971,4,0.406
9,0.308,0.66,0.0413,0,0.0765,10.303,1,0.304,174.086,4,0.475
10,0.727,0.924,0.0,7,0.105,10.204,1,0.0687,137.935,4,0.582
11,0.0583,0.549,0.0,1,0.104,5.057,0,0.318,97.241,4,0.547
12,0.111,0.771,2.03e-06,9,0.318,6.543,0,0.0482,135.012,4,0.823
13,0.0615,0.734,0.0,8,0.109,16.082,1,0.295,172.09,4,0.856
14,0.796,0.753,1.71e-05,10,0.147,8.161,1,0.042,100.043,4,0.577
15,0.0619,0.869,0.0,10,0.219,5.619,0,0.363,89.028,4,0.571
16,0.239,0.618,0.0,2,0.115,6.731,1,0.421,87.158,4,0.451
17,0.103,0.736,0.000294,1,0.169,12.698,1,0.248,91.93,4,0.663
18,0.404,0.767,0.0,4,0.248,5.611,0,0.329,91.026,4,0.529
19,0.695,0.76,0.0,0,0.122,8.131,0,0.327,136.017,4,0.299
