,0,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0,0.000721,https://api.spotify.com/v1/audio-analysis/01ICFoBoco3TaM5r3HthXy,Metallica,0.539,515387.0,0.0,0.828,0.0,01ICFoBoco3TaM5r3HthXy,0.43799999999999994,4.0,0.198,-9.11,0.0,0.0,0.0,1.0,0.0,Master Of Puppets,0.0361,105.303,4.0,https://api.spotify.com/v1/tracks/01ICFoBoco3TaM5r3HthXy,audio_features,spotify:track:01ICFoBoco3TaM5r3HthXy,0.5870000000000001
1,,1,0.0176,https://api.spotify.com/v1/audio-analysis/7oGWqVwmgwGBYXkW4cROlK,The Used,0.358,314373.0,0.0,0.8059999999999999,0.0,7oGWqVwmgwGBYXkW4cROlK,0.00252,7.0,0.0982,-8.924,0.0,1.0,0.0,1.0,0.0,Over and Over Again,0.0677,158.77700000000002,4.0,https://api.spotify.com/v1/tracks/7oGWqVwmgwGBYXkW4cROlK,audio_features,spotify:track:7oGWqVwmgwGBYXkW4cROlK,0.578
2,,2,0.0018399999999999998,https://api.spotify.com/v1/audio-analysis/7nAfXgeHfDO50upcOjJOaq,Linkin Park,0.593,231307.0,0.0,0.7120000000000001,0.0,7nAfXgeHfDO50upcOjJOaq,0.0,2.0,0.128,-6.325,0.0,0.0,0.0,1.0,0.0,Talking to Myself,0.0286,124.01299999999999,4.0,https://api.spotify.com/v1/tracks/7nAfXgeHfDO50upcOjJOaq,audio_features,spotify:track:7nAfXgeHfDO50upcOjJOaq,0.473
3,,3,0.00011499999999999999,https://api.spotify.com/v1/audio-analysis/4U9arGcc4ATa7shChhLQP0,Thirty Seconds To Mars,0.494,188228.0,0.0,0.778,0.0,4U9arGcc4ATa7shChhLQP0,0.0,8.0,0.0904,-7.041,0.0,1.0,0.0,1.0,0.0,Walk On Water,0.0359,139.963,4.0,https://api.spotify.com/v1/tracks/4U9arGcc4ATa7shChhLQP0,audio_features,spotify:track:4U9arGcc4ATa7shChhLQP0,0.406
4,,4,0.00020899999999999998,https://api.spotify.com/v1/audio-analysis/6JSryEdVJTZq6YBn3wK2sn,Foo Fighters,0.515,266187.0,0.0,0.917,0.0,6JSryEdVJTZq6YBn3wK2sn,0.00047599999999999997,1.0,0.145,-7.312,0.0,1.0,0.0,1.0,0.0,Arrows,0.0417,121.988,4.0,https://api.spotify.com/v1/tracks/6JSryEdVJTZq6YBn3wK2sn,audio_features,spotify:track:6JSryEdVJTZq6YBn3wK2sn,0.409
5,,5,0.0477,https://api.spotify.com/v1/audio-analysis/54RaEDwHbCJKMdDq68EyKE,A Perfect Circle,0.36700000000000005,281781.0,0.0,0.903,0.0,54RaEDwHbCJKMdDq68EyKE,0.00124,4.0,0.235,-5.956,0.0,0.0,0.0,1.0,0.0,The Doomed,0.175,106.329,3.0,https://api.spotify.com/v1/tracks/54RaEDwHbCJKMdDq68EyKE,audio_features,spotify:track:54RaEDwHbCJKMdDq68EyKE,0.239
6,,6,5.86e-06,https://api.spotify.com/v1/audio-analysis/4moZ8avSDXYdJhMYwL60kW,Noel Gallagher's High Flying Birds,0.431,234880.0,0.0,0.975,0.0,4moZ8avSDXYdJhMYwL60kW,0.667,1.0,0.552,-3.978,0.0,1.0,0.0,1.0,0.0,Holy Mountain,0.0429,137.013,4.0,https://api.spotify.com/v1/tracks/4moZ8avSDXYdJhMYwL60kW,audio_features,spotify:track:4moZ8avSDXYdJhMYwL60kW,0.715
0,,0,0.21100000000000002,https://api.spotify.com/v1/audio-analysis/4RdLeGrUDuPsUrQtG0lHEk,Haikaiss,0.76,292727.0,0.0,0.7,0.0,4RdLeGrUDuPsUrQtG0lHEk,0.0,10.0,0.107,-7.612,0.0,0.0,1.0,0.0,0.0,Uma Noite a Toa,0.11199999999999999,132.02200000000002,4.0,https://api.spotify.com/v1/tracks/4RdLeGrUDuPsUrQtG0lHEk,audio_features,spotify:track:4RdLeGrUDuPsUrQtG0lHEk,0.6609999999999999
1,,1,0.268,https://api.spotify.com/v1/audio-analysis/1nxmzzoLbCRzsUiPPFwfUh,Cacife Clandestino,0.841,253800.0,0.0,0.5660000000000001,0.0,1nxmzzoLbCRzsUiPPFwfUh,0.0,5.0,0.11800000000000001,-5.818,0.0,0.0,1.0,0.0,0.0,De Ninguém,0.0508,132.026,4.0,https://api.spotify.com/v1/tracks/1nxmzzoLbCRzsUiPPFwfUh,audio_features,spotify:track:1nxmzzoLbCRzsUiPPFwfUh,0.479
2,,2,0.805,https://api.spotify.com/v1/audio-analysis/3yZz0emaKwHuEEjWeTTF7n,1Kilo,0.6779999999999999,233225.0,0.0,0.505,0.0,3yZz0emaKwHuEEjWeTTF7n,0.0,11.0,0.07,-7.691,0.0,0.0,1.0,0.0,0.0,Tudo Bem,0.0408,123.742,4.0,https://api.spotify.com/v1/tracks/3yZz0emaKwHuEEjWeTTF7n,audio_features,spotify:track:3yZz0emaKwHuEEjWeTTF7n,0.679
3,,3,0.622,https://api.spotify.com/v1/audio-analysis/5MYKqp6J8rstffAQBCE2nl,Racionais MC's,0.716,598737.0,0.0,0.716,0.0,5MYKqp6J8rstffAQBCE2nl,0.0,1.0,0.42700000000000005,-8.52,0.0,1.0,1.0,0.0,0.0,Mil Faces de um Homem Leal (Marighella),0.382,95.1,4.0,https://api.spotify.com/v1/tracks/5MYKqp6J8rstffAQBCE2nl,audio_features,spotify:track:5MYKqp6J8rstffAQBCE2nl,0.37799999999999995
4,,4,0.10800000000000001,https://api.spotify.com/v1/audio-analysis/7yBjom4u7SF2xOHAdA0yQt,Haikaiss,0.815,271638.0,0.0,0.787,0.0,7yBjom4u7SF2xOHAdA0yQt,0.0,6.0,0.0968,-5.539,0.0,0.0,1.0,0.0,0.0,Dias Difíceis,0.105,128.999,4.0,https://api.spotify.com/v1/tracks/7yBjom4u7SF2xOHAdA0yQt,audio_features,spotify:track:7yBjom4u7SF2xOHAdA0yQt,0.465
5,,5,0.0504,https://api.spotify.com/v1/audio-analysis/3jeSF0bZwlodupw1Ejcie8,Coruja Bc1,0.713,163845.0,0.0,0.447,0.0,3jeSF0bZwlodupw1Ejcie8,0.0,10.0,0.26,-12.732999999999999,0.0,0.0,1.0,0.0,0.0,NDDN,0.589,83.735,4.0,https://api.spotify.com/v1/tracks/3jeSF0bZwlodupw1Ejcie8,audio_features,spotify:track:3jeSF0bZwlodupw1Ejcie8,0.516
