,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,Talk In Your Sleep,Moose Blood,,,,,,,,,,,,,,,,,,
1,"{'danceability': 0.538, 'energy': 0.894, 'key': 2, 'loudness': -5.207, 'mode': 1, 'speechiness': 0.0357, 'acousticness': 0.000293, 'instrumentalness': 4.43e-06, 'liveness': 0.258, 'valence': 0.64, 'tempo': 124.995, 'type': 'audio_features', 'id': '2adoti4xmtVVqGJK7euq9C', 'uri': 'spotify:track:2adoti4xmtVVqGJK7euq9C', 'track_href': 'https://api.spotify.com/v1/tracks/2adoti4xmtVVqGJK7euq9C', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2adoti4xmtVVqGJK7euq9C', 'duration_ms': 260000, 'time_signature': 4}",Now & Here,Cemetery Drive,,,,,,,,,,,,,,,,,,
2,"{'danceability': 0.421, 'energy': 0.965, 'key': 10, 'loudness': -3.133, 'mode': 1, 'speechiness': 0.0544, 'acousticness': 0.00104, 'instrumentalness': 0.0531, 'liveness': 0.433, 'valence': 0.761, 'tempo': 139.881, 'type': 'audio_features', 'id': '4vWP2qTHuGH9WfLNxMEBqS', 'uri': 'spotify:track:4vWP2qTHuGH9WfLNxMEBqS', 'track_href': 'https://api.spotify.com/v1/tracks/4vWP2qTHuGH9WfLNxMEBqS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vWP2qTHuGH9WfLNxMEBqS', 'duration_ms': 164480, 'time_signature': 3}",Dead At 21,BRAINCOATS,,,,,,,,,,,,,,,,,,
3,,Losing Patience,Bleacher Days,,,,,,,,,,,,,,,,,,
4,"{'danceability': 0.41, 'energy': 0.921, 'key': 7, 'loudness': -8.554, 'mode': 0, 'speechiness': 0.0569, 'acousticness': 3.6e-05, 'instrumentalness': 0.00403, 'liveness': 0.153, 'valence': 0.9, 'tempo': 190.14, 'type': 'audio_features', 'id': '6Czr6oUri0SfThZEUi07Gm', 'uri': 'spotify:track:6Czr6oUri0SfThZEUi07Gm', 'track_href': 'https://api.spotify.com/v1/tracks/6Czr6oUri0SfThZEUi07Gm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Czr6oUri0SfThZEUi07Gm', 'duration_ms': 140500, 'time_signature': 4}",Sing for Your Supper,The Last Gang,,,,,,,,,,,,,,,,,,
5,"{'danceability': 0.323, 'energy': 0.916, 'key': 6, 'loudness': -3.652, 'mode': 0, 'speechiness': 0.0576, 'acousticness': 0.00021, 'instrumentalness': 0.155, 'liveness': 0.121, 'valence': 0.52, 'tempo': 169.918, 'type': 'audio_features', 'id': '4rEEkQAkNGOeWgd7uUKksr', 'uri': 'spotify:track:4rEEkQAkNGOeWgd7uUKksr', 'track_href': 'https://api.spotify.com/v1/tracks/4rEEkQAkNGOeWgd7uUKksr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rEEkQAkNGOeWgd7uUKksr', 'duration_ms': 196680, 'time_signature': 4}",Going Out,Tusky,,,,,,,,,,,,,,,,,,
6,"{'danceability': 0.536, 'energy': 0.926, 'key': 1, 'loudness': -2.919, 'mode': 1, 'speechiness': 0.0717, 'acousticness': 0.016, 'instrumentalness': 0.000166, 'liveness': 0.277, 'valence': 0.837, 'tempo': 144.964, 'type': 'audio_features', 'id': '3IQ45ckq7AsBSJYiQRh6NE', 'uri': 'spotify:track:3IQ45ckq7AsBSJYiQRh6NE', 'track_href': 'https://api.spotify.com/v1/tracks/3IQ45ckq7AsBSJYiQRh6NE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3IQ45ckq7AsBSJYiQRh6NE', 'duration_ms': 220552, 'time_signature': 4}",Awkward Converstions,5 Year Plan,,,,,,,,,,,,,,,,,,
7,"{'danceability': 0.27, 'energy': 0.941, 'key': 2, 'loudness': -3.572, 'mode': 1, 'speechiness': 0.0771, 'acousticness': 0.000391, 'instrumentalness': 0, 'liveness': 0.0646, 'valence': 0.591, 'tempo': 111.438, 'type': 'audio_features', 'id': '0ZZy3WH1eSXDpakCcIsjri', 'uri': 'spotify:track:0ZZy3WH1eSXDpakCcIsjri', 'track_href': 'https://api.spotify.com/v1/tracks/0ZZy3WH1eSXDpakCcIsjri', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ZZy3WH1eSXDpakCcIsjri', 'duration_ms': 215946, 'time_signature': 4}",Smoke Signals - Bonus Track,In Her Own Words,,,,,,,,,,,,,,,,,,
8,"{'danceability': 0.401, 'energy': 0.962, 'key': 1, 'loudness': -4.45, 'mode': 1, 'speechiness': 0.0601, 'acousticness': 5.98e-05, 'instrumentalness': 0, 'liveness': 0.155, 'valence': 0.469, 'tempo': 164.981, 'type': 'audio_features', 'id': '146d1mqq9NVK94OR9EamLk', 'uri': 'spotify:track:146d1mqq9NVK94OR9EamLk', 'track_href': 'https://api.spotify.com/v1/tracks/146d1mqq9NVK94OR9EamLk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/146d1mqq9NVK94OR9EamLk', 'duration_ms': 168968, 'time_signature': 4}",Drowned in Gold,Boston Manor,,,,,,,,,,,,,,,,,,
9,"{'danceability': 0.38, 'energy': 0.923, 'key': 2, 'loudness': -3.088, 'mode': 1, 'speechiness': 0.0789, 'acousticness': 0.00362, 'instrumentalness': 0, 'liveness': 0.293, 'valence': 0.373, 'tempo': 173.056, 'type': 'audio_features', 'id': '1ANdjfzMRFKdee6Xnhfke5', 'uri': 'spotify:track:1ANdjfzMRFKdee6Xnhfke5', 'track_href': 'https://api.spotify.com/v1/tracks/1ANdjfzMRFKdee6Xnhfke5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ANdjfzMRFKdee6Xnhfke5', 'duration_ms': 219984, 'time_signature': 4}",Paste,Parkside,,,,,,,,,,,,,,,,,,
