,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
0,0.293,https://api.spotify.com/v1/audio-analysis/5LQtm0sJK8IgIlweuu4yD3,0.753,303320,0.553,5LQtm0sJK8IgIlweuu4yD3,0.0,9,0.901,-7.687,0,0.0342,102.946,4,https://api.spotify.com/v1/tracks/5LQtm0sJK8IgIlweuu4yD3,audio_features,spotify:track:5LQtm0sJK8IgIlweuu4yD3,0.567,"Sorri, Sou Rei - Faixa Bônus Ao Vivo",Natiruts
1,0.000277,https://api.spotify.com/v1/audio-analysis/4C2EiAbViqKpPTKtGyFgky,0.553,194655,0.903,4C2EiAbViqKpPTKtGyFgky,9.68e-06,1,0.149,-6.148,0,0.0411,82.027,4,https://api.spotify.com/v1/tracks/4C2EiAbViqKpPTKtGyFgky,audio_features,spotify:track:4C2EiAbViqKpPTKtGyFgky,0.815,Não Dá,Onze:20
2,0.482,https://api.spotify.com/v1/audio-analysis/4kTn9BUsYt3UFMxM8Sqa03,0.567,227371,0.79,4kTn9BUsYt3UFMxM8Sqa03,0.0,4,0.847,-6.073,0,0.101,78.956,4,https://api.spotify.com/v1/tracks/4kTn9BUsYt3UFMxM8Sqa03,audio_features,spotify:track:4kTn9BUsYt3UFMxM8Sqa03,0.628,Pisando Descalço - Ao Vivo Em São Paulo,Maneva
3,0.0141,https://api.spotify.com/v1/audio-analysis/3KSj0znpvfGKrBzEoE8gcL,0.679,258167,0.745,3KSj0znpvfGKrBzEoE8gcL,0.015,7,0.325,-6.136,0,0.0313,136.999,4,https://api.spotify.com/v1/tracks/3KSj0znpvfGKrBzEoE8gcL,audio_features,spotify:track:3KSj0znpvfGKrBzEoE8gcL,0.767,Na Positiva,Natiruts
4,0.126,https://api.spotify.com/v1/audio-analysis/2RwdM3JC2LrTLaX5oNtj5y,0.721,190440,0.6,2RwdM3JC2LrTLaX5oNtj5y,0.0,0,0.177,-5.751,1,0.0621,149.985,4,https://api.spotify.com/v1/tracks/2RwdM3JC2LrTLaX5oNtj5y,audio_features,spotify:track:2RwdM3JC2LrTLaX5oNtj5y,0.581,Minha Pretinha,Vibrações
5,0.348,https://api.spotify.com/v1/audio-analysis/5dVWZYgbYqGYSQSoIUBEtd,0.454,243293,0.806,5dVWZYgbYqGYSQSoIUBEtd,0.0,0,0.967,-7.58,1,0.123,91.081,4,https://api.spotify.com/v1/tracks/5dVWZYgbYqGYSQSoIUBEtd,audio_features,spotify:track:5dVWZYgbYqGYSQSoIUBEtd,0.475,Aurora Boreal - Ao Vivo,Rael
6,0.201,https://api.spotify.com/v1/audio-analysis/3mgb1VrOPSuVENfp5LUCaa,0.786,149427,0.695,3mgb1VrOPSuVENfp5LUCaa,0.0,9,0.117,-5.802,1,0.0521,88.979,4,https://api.spotify.com/v1/tracks/3mgb1VrOPSuVENfp5LUCaa,audio_features,spotify:track:3mgb1VrOPSuVENfp5LUCaa,0.823,Jah Me Liberta,Planta E Raiz
7,0.179,https://api.spotify.com/v1/audio-analysis/7q9dBBZwL9r5RVpbWvDFXf,0.795,233547,0.617,7q9dBBZwL9r5RVpbWvDFXf,0.0,7,0.102,-7.957,0,0.0719,164.045,4,https://api.spotify.com/v1/tracks/7q9dBBZwL9r5RVpbWvDFXf,audio_features,spotify:track:7q9dBBZwL9r5RVpbWvDFXf,0.885,Selecta,BRAZA
8,0.0145,https://api.spotify.com/v1/audio-analysis/7bPEAUpe1ovbgfkNVPGcZU,0.619,196232,0.838,7bPEAUpe1ovbgfkNVPGcZU,0.0,2,0.111,-5.843,1,0.0286,91.482,4,https://api.spotify.com/v1/tracks/7bPEAUpe1ovbgfkNVPGcZU,audio_features,spotify:track:7bPEAUpe1ovbgfkNVPGcZU,0.685,Amuleto,Gabriel Elias
9,0.13,https://api.spotify.com/v1/audio-analysis/2eCNquDhCnmdAXzSqa7xGM,0.883,205440,0.52,2eCNquDhCnmdAXzSqa7xGM,0.0,0,0.259,-6.676,0,0.0406,124.982,4,https://api.spotify.com/v1/tracks/2eCNquDhCnmdAXzSqa7xGM,audio_features,spotify:track:2eCNquDhCnmdAXzSqa7xGM,0.693,Mar de Luz,Vibrações
10,0.0463,https://api.spotify.com/v1/audio-analysis/13NAnzgJ7rEqUCgawmwmsF,0.692,233813,0.747,13NAnzgJ7rEqUCgawmwmsF,0.0,5,0.182,-4.697,1,0.0407,140.008,4,https://api.spotify.com/v1/tracks/13NAnzgJ7rEqUCgawmwmsF,audio_features,spotify:track:13NAnzgJ7rEqUCgawmwmsF,0.823,Maria ou Joana,Maskavo
11,0.593,https://api.spotify.com/v1/audio-analysis/5cJnObcxd1AKGE8aLT1K7W,0.709,248987,0.645,5cJnObcxd1AKGE8aLT1K7W,4.71e-06,0,0.109,-6.776,0,0.0351,132.308,4,https://api.spotify.com/v1/tracks/5cJnObcxd1AKGE8aLT1K7W,audio_features,spotify:track:5cJnObcxd1AKGE8aLT1K7W,0.231,Sol do Meu Amanhecer,Natiruts
12,0.412,https://api.spotify.com/v1/audio-analysis/0I8KBXuUkLgYaIsBTn4vJU,0.748,302000,0.714,0I8KBXuUkLgYaIsBTn4vJU,0.0,7,0.144,-6.818,1,0.308,166.594,4,https://api.spotify.com/v1/tracks/0I8KBXuUkLgYaIsBTn4vJU,audio_features,spotify:track:0I8KBXuUkLgYaIsBTn4vJU,0.673,Nosso Lugar,Amanajé Sound System
13,0.127,https://api.spotify.com/v1/audio-analysis/4F811EJ9iPKZWkOl7nDGUa,0.546,242392,0.806,4F811EJ9iPKZWkOl7nDGUa,0.0,7,0.339,-5.856,1,0.12,170.091,4,https://api.spotify.com/v1/tracks/4F811EJ9iPKZWkOl7nDGUa,audio_features,spotify:track:4F811EJ9iPKZWkOl7nDGUa,0.794,Saiba Viver,Junior Dread
14,0.311,https://api.spotify.com/v1/audio-analysis/1hyrJAScZpE6kncDVjErU6,0.591,193119,0.655,1hyrJAScZpE6kncDVjErU6,0.00241,6,0.109,-8.463,0,0.144,189.884,4,https://api.spotify.com/v1/tracks/1hyrJAScZpE6kncDVjErU6,audio_features,spotify:track:1hyrJAScZpE6kncDVjErU6,0.708,Rouxinol,Rael
15,0.553,https://api.spotify.com/v1/audio-analysis/5RGpjZvOZJURgepbjtmluC,0.528,154947,0.629,5RGpjZvOZJURgepbjtmluC,0.0,4,0.904,-8.734,0,0.137,67.29,4,https://api.spotify.com/v1/tracks/5RGpjZvOZJURgepbjtmluC,audio_features,spotify:track:5RGpjZvOZJURgepbjtmluC,0.68,Saudades Do Tempo - Ao Vivo Em São Paulo / Edit,Maneva
