,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,gym,focus,relax,party
0,0.485,https://api.spotify.com/v1/audio-analysis/6A569zyv8nT8xyFYYGqC6C,0.68,224000,0.449,6A569zyv8nT8xyFYYGqC6C,0.0,3,0.129,-6.983,1,0.0324,94.842,4,https://api.spotify.com/v1/tracks/6A569zyv8nT8xyFYYGqC6C,audio_features,spotify:track:6A569zyv8nT8xyFYYGqC6C,0.145,Era uma Vez,Kell Smith,0,0,1,0
1,0.469,https://api.spotify.com/v1/audio-analysis/0lwrkYbCwtAWTI0OIWEnd6,0.493,184267,0.509,0lwrkYbCwtAWTI0OIWEnd6,0.0,10,0.093,-6.461,1,0.0367,188.399,4,https://api.spotify.com/v1/tracks/0lwrkYbCwtAWTI0OIWEnd6,audio_features,spotify:track:0lwrkYbCwtAWTI0OIWEnd6,0.522,Fica,Anavitória,0,0,1,0
2,0.923,https://api.spotify.com/v1/audio-analysis/5JEVbp6mX3umfQePbnN3sE,0.568,207531,0.276,5JEVbp6mX3umfQePbnN3sE,4.25e-06,11,0.104,-6.72,1,0.0273,94.357,4,https://api.spotify.com/v1/tracks/5JEVbp6mX3umfQePbnN3sE,audio_features,spotify:track:5JEVbp6mX3umfQePbnN3sE,0.365,Amuleto,Tiê,0,0,1,0
3,0.779,https://api.spotify.com/v1/audio-analysis/52upx0jjCYqmcEy9EoO2uQ,0.633,190424,0.357,52upx0jjCYqmcEy9EoO2uQ,4.75e-06,6,0.0929,-10.042,0,0.0323,117.862,4,https://api.spotify.com/v1/tracks/52upx0jjCYqmcEy9EoO2uQ,audio_features,spotify:track:52upx0jjCYqmcEy9EoO2uQ,0.257,Living On The Outside - Live,Bruno Martini,0,0,1,0
4,0.569,https://api.spotify.com/v1/audio-analysis/79hHaRraMY1E8t8U2TS7jK,0.522,207933,0.482,79hHaRraMY1E8t8U2TS7jK,0.00367,11,0.106,-8.075,1,0.033,151.866,4,https://api.spotify.com/v1/tracks/79hHaRraMY1E8t8U2TS7jK,audio_features,spotify:track:79hHaRraMY1E8t8U2TS7jK,0.42,I Don't Want To Talk About It,Fernanda Takai,0,0,1,0
5,0.378,https://api.spotify.com/v1/audio-analysis/4eA6ycsNbzFrewIGKbfSM2,0.643,167868,0.519,4eA6ycsNbzFrewIGKbfSM2,0.0,6,0.126,-6.244,0,0.0291,119.989,4,https://api.spotify.com/v1/tracks/4eA6ycsNbzFrewIGKbfSM2,audio_features,spotify:track:4eA6ycsNbzFrewIGKbfSM2,0.34,Make Me Wanna - Acoustic Version,Selva,0,0,1,0
6,0.156,https://api.spotify.com/v1/audio-analysis/7iB72vyGDEcc232lctJdgL,0.6,198377,0.49,7iB72vyGDEcc232lctJdgL,3.19e-06,2,0.116,-7.012,1,0.0268,111.826,4,https://api.spotify.com/v1/tracks/7iB72vyGDEcc232lctJdgL,audio_features,spotify:track:7iB72vyGDEcc232lctJdgL,0.591,Promete,Ana Vilela,0,0,1,0
7,0.383,https://api.spotify.com/v1/audio-analysis/29pAeJS3wQkbPM6OYdbID5,0.553,230869,0.313,29pAeJS3wQkbPM6OYdbID5,0.0,2,0.091,-14.768,0,0.186,145.821,4,https://api.spotify.com/v1/tracks/29pAeJS3wQkbPM6OYdbID5,audio_features,spotify:track:29pAeJS3wQkbPM6OYdbID5,0.6,"Tipo Agora (feat. Pablo Martins, Lenzi & Pedro Qualy)",1Kilo,0,0,1,0
8,0.571,https://api.spotify.com/v1/audio-analysis/5nJNdtx7ZtkNRKiYdhb87Z,0.487,208470,0.331,5nJNdtx7ZtkNRKiYdhb87Z,0.0,2,0.198,-8.005,0,0.0257,83.673,4,https://api.spotify.com/v1/tracks/5nJNdtx7ZtkNRKiYdhb87Z,audio_features,spotify:track:5nJNdtx7ZtkNRKiYdhb87Z,0.25,Tempo Perdido (Versão Os Dias Eram Assim),Tiago Iorc,0,0,1,0
9,0.000686,https://api.spotify.com/v1/audio-analysis/2ScU6iEvgb0TIuKiyem9rg,0.512,151667,0.973,2ScU6iEvgb0TIuKiyem9rg,0.0292,8,0.52,-4.704,1,0.0424,91.457,4,https://api.spotify.com/v1/tracks/2ScU6iEvgb0TIuKiyem9rg,audio_features,spotify:track:2ScU6iEvgb0TIuKiyem9rg,0.786,Proibida Pra Mim (Grazon) - Ao Vivo,Charlie Brown Jr.,0,0,1,0
10,0.197,https://api.spotify.com/v1/audio-analysis/6Cds1yaAqjemuebKt1DIKj,0.508,241400,0.608,6Cds1yaAqjemuebKt1DIKj,0.00297,2,0.103,-8.915,1,0.034,160.212,4,https://api.spotify.com/v1/tracks/6Cds1yaAqjemuebKt1DIKj,audio_features,spotify:track:6Cds1yaAqjemuebKt1DIKj,0.312,Por Onde Você Anda?,Detonautas Roque Clube,0,0,1,0
11,0.797,https://api.spotify.com/v1/audio-analysis/2dnsqxCyWYslPCT6ajjUDI,0.482,170707,0.149,2dnsqxCyWYslPCT6ajjUDI,0.00062,2,0.232,-16.537,1,0.0335,112.594,4,https://api.spotify.com/v1/tracks/2dnsqxCyWYslPCT6ajjUDI,audio_features,spotify:track:2dnsqxCyWYslPCT6ajjUDI,0.478,Amanheceu,Scalene,0,0,1,0
12,0.759,https://api.spotify.com/v1/audio-analysis/38K2mRIQiTUlVBIXSvzpeh,0.593,176000,0.366,38K2mRIQiTUlVBIXSvzpeh,0.0,0,0.132,-8.823,1,0.0268,89.824,3,https://api.spotify.com/v1/tracks/38K2mRIQiTUlVBIXSvzpeh,audio_features,spotify:track:38K2mRIQiTUlVBIXSvzpeh,0.348,Onde Fica a Estrela,Fresno,0,0,1,0
13,0.842,https://api.spotify.com/v1/audio-analysis/7yIykS5q8NUniwV3PMeJR3,0.509,198193,0.139,7yIykS5q8NUniwV3PMeJR3,0.0,1,0.182,-16.07,1,0.0385,95.007,4,https://api.spotify.com/v1/tracks/7yIykS5q8NUniwV3PMeJR3,audio_features,spotify:track:7yIykS5q8NUniwV3PMeJR3,0.691,Se Fosse Tão Fácil,MAR ABERTO,0,0,1,0
14,0.576,https://api.spotify.com/v1/audio-analysis/5df99H7yd4phkyAR9feLdf,0.391,258720,0.477,5df99H7yd4phkyAR9feLdf,0.00137,2,0.111,-7.829,1,0.0276,98.758,4,https://api.spotify.com/v1/tracks/5df99H7yd4phkyAR9feLdf,audio_features,spotify:track:5df99H7yd4phkyAR9feLdf,0.197,Ai de Mim,OutroEu,0,0,1,0
15,0.96,https://api.spotify.com/v1/audio-analysis/1eFlkymohjGtRnnYGabg8s,0.641,236970,0.314,1eFlkymohjGtRnnYGabg8s,3.61e-05,10,0.0991,-13.932,0,0.032,132.983,3,https://api.spotify.com/v1/tracks/1eFlkymohjGtRnnYGabg8s,audio_features,spotify:track:1eFlkymohjGtRnnYGabg8s,0.335,Aliança,Tribalistas,0,0,1,0
16,0.356,https://api.spotify.com/v1/audio-analysis/6liKLBAIOXGFuKONLG3PIs,0.57,177481,0.368,6liKLBAIOXGFuKONLG3PIs,0.0,6,0.0976,-7.521,1,0.0802,64.097,4,https://api.spotify.com/v1/tracks/6liKLBAIOXGFuKONLG3PIs,audio_features,spotify:track:6liKLBAIOXGFuKONLG3PIs,0.598,Energia Surreal - Acústica,Thiaguinho,0,0,1,0
17,0.794,https://api.spotify.com/v1/audio-analysis/66O1SfDryBYk9i3RcV5AXq,0.406,176631,0.345,66O1SfDryBYk9i3RcV5AXq,0.0,11,0.113,-9.631,1,0.0303,96.931,3,https://api.spotify.com/v1/tracks/66O1SfDryBYk9i3RcV5AXq,audio_features,spotify:track:66O1SfDryBYk9i3RcV5AXq,0.517,Trem-Bala - Acústico,Ana Vilela,0,0,1,0
18,0.854,https://api.spotify.com/v1/audio-analysis/6bgQIw80xWC3MPZX4kVYGw,0.668,205468,0.372,6bgQIw80xWC3MPZX4kVYGw,0.000172,10,0.163,-8.203,1,0.0269,99.808,4,https://api.spotify.com/v1/tracks/6bgQIw80xWC3MPZX4kVYGw,audio_features,spotify:track:6bgQIw80xWC3MPZX4kVYGw,0.246,Trevo (Tu),Anavitória,0,0,1,0
19,0.536,https://api.spotify.com/v1/audio-analysis/7H2IjHrDlIXbLL6cMjnTdO,0.588,239545,0.458,7H2IjHrDlIXbLL6cMjnTdO,2.44e-05,4,0.0889,-7.525,0,0.0296,132.019,4,https://api.spotify.com/v1/tracks/7H2IjHrDlIXbLL6cMjnTdO,audio_features,spotify:track:7H2IjHrDlIXbLL6cMjnTdO,0.307,The Sound (This Is Who We Are) - Acoustic,Kyber Krystals,0,0,1,0
20,0.487,https://api.spotify.com/v1/audio-analysis/6kCGzPmsyJkzs0UnbXjply,0.604,222784,0.892,6kCGzPmsyJkzs0UnbXjply,2.54e-06,11,0.127,-3.527,1,0.0326,127.908,4,https://api.spotify.com/v1/tracks/6kCGzPmsyJkzs0UnbXjply,audio_features,spotify:track:6kCGzPmsyJkzs0UnbXjply,0.755,A Mais Pedida - Ao Vivo | Acústico,Raimundos,0,0,1,0
21,0.811,https://api.spotify.com/v1/audio-analysis/2iO6rLYnDiMJqioCefh395,0.592,264258,0.283,2iO6rLYnDiMJqioCefh395,0.0,4,0.0903,-8.672,0,0.0296,120.787,4,https://api.spotify.com/v1/tracks/2iO6rLYnDiMJqioCefh395,audio_features,spotify:track:2iO6rLYnDiMJqioCefh395,0.56,Solução - Acústico,UM44K,0,0,1,0
22,0.332,https://api.spotify.com/v1/audio-analysis/6ceKACqCmeltbZDf8siVz2,0.691,256790,0.725,6ceKACqCmeltbZDf8siVz2,4.13e-06,0,0.285,-8.828,1,0.03,120.014,4,https://api.spotify.com/v1/tracks/6ceKACqCmeltbZDf8siVz2,audio_features,spotify:track:6ceKACqCmeltbZDf8siVz2,0.64,Pra Quando Você Se Lembrar de Mim - Acústico,Jota Quest,0,0,1,0
23,0.754,https://api.spotify.com/v1/audio-analysis/7EyY1Ho77ywcjzsh6KxBSu,0.435,215847,0.521,7EyY1Ho77ywcjzsh6KxBSu,0.0,4,0.205,-6.354,1,0.0368,158.095,4,https://api.spotify.com/v1/tracks/7EyY1Ho77ywcjzsh6KxBSu,audio_features,spotify:track:7EyY1Ho77ywcjzsh6KxBSu,0.505,Cravo e Canela - Acústico | Ao Vivo,Gabriel Elias,0,0,1,0
24,0.514,https://api.spotify.com/v1/audio-analysis/6Q8xj3afIv8e8rRdIWKHhU,0.462,246153,0.498,6Q8xj3afIv8e8rRdIWKHhU,9.97e-06,2,0.113,-6.865,1,0.0299,132.226,5,https://api.spotify.com/v1/tracks/6Q8xj3afIv8e8rRdIWKHhU,audio_features,spotify:track:6Q8xj3afIv8e8rRdIWKHhU,0.178,Nossa Conversa,Kell Smith,0,0,1,0
25,0.841,https://api.spotify.com/v1/audio-analysis/2srL4DYBekshpbprS6H0mO,0.555,213192,0.439,2srL4DYBekshpbprS6H0mO,0.0,7,0.106,-11.026,1,0.222,186.581,4,https://api.spotify.com/v1/tracks/2srL4DYBekshpbprS6H0mO,audio_features,spotify:track:2srL4DYBekshpbprS6H0mO,0.705,Deixe Me Ir - Acústico,1Kilo,0,0,1,0
