,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
0,0.316,https://api.spotify.com/v1/audio-analysis/6GoFm9E3Nkjve72dwOhmXj,0.75,168893,0.689,6GoFm9E3Nkjve72dwOhmXj,0.0,0,0.0503,-6.701,1,0.0687,106.236,4,https://api.spotify.com/v1/tracks/6GoFm9E3Nkjve72dwOhmXj,audio_features,spotify:track:6GoFm9E3Nkjve72dwOhmXj,0.681,Camarão Que Dorme A Onda Leva,Zeca Pagodinho
1,0.559,https://api.spotify.com/v1/audio-analysis/5KDgtCIqnrnIb9thLNFc3j,0.445,296067,0.84,5KDgtCIqnrnIb9thLNFc3j,0.0,5,0.737,-10.82,1,0.133,111.645,4,https://api.spotify.com/v1/tracks/5KDgtCIqnrnIb9thLNFc3j,audio_features,spotify:track:5KDgtCIqnrnIb9thLNFc3j,0.601,A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,Grupo Fundo De Quintal
2,0.35,https://api.spotify.com/v1/audio-analysis/1MnbzON2M0Md10P9BJZElG,0.666,241759,0.703,1MnbzON2M0Md10P9BJZElG,3.12e-06,9,0.233,-8.157,0,0.049,92.031,4,https://api.spotify.com/v1/tracks/1MnbzON2M0Md10P9BJZElG,audio_features,spotify:track:1MnbzON2M0Md10P9BJZElG,0.889,Poder da Criação,"Diogo Nogueira, Martinho da Vila, Zeca Pagodinho, Jorge Aragão & Dona Ivone Lara"
3,0.415,https://api.spotify.com/v1/audio-analysis/3Hvhm0NXjx5mI0OOkPk06E,0.529,212493,0.775,3Hvhm0NXjx5mI0OOkPk06E,0.0,11,0.779,-7.158,0,0.0606,153.423,4,https://api.spotify.com/v1/tracks/3Hvhm0NXjx5mI0OOkPk06E,audio_features,spotify:track:3Hvhm0NXjx5mI0OOkPk06E,0.564,Maneiras - Ao Vivo,Zeca Pagodinho
4,0.497,https://api.spotify.com/v1/audio-analysis/4oNk9WpCEytgOdYms1x5Fr,0.459,199560,0.615,4oNk9WpCEytgOdYms1x5Fr,0.0,11,0.118,-9.581,0,0.0841,97.961,3,https://api.spotify.com/v1/tracks/4oNk9WpCEytgOdYms1x5Fr,audio_features,spotify:track:4oNk9WpCEytgOdYms1x5Fr,0.83,Vou Festejar,Elza Soares
5,0.649,https://api.spotify.com/v1/audio-analysis/0UvD9Oziehfgu0k8qyqSIj,0.541,214280,0.866,0UvD9Oziehfgu0k8qyqSIj,0.0,0,0.893,-6.088,1,0.0501,97.958,4,https://api.spotify.com/v1/tracks/0UvD9Oziehfgu0k8qyqSIj,audio_features,spotify:track:0UvD9Oziehfgu0k8qyqSIj,0.748,O Show Tem Que Continuar,Arlindo Cruz
6,0.707,https://api.spotify.com/v1/audio-analysis/4t4oqMSwwmpHzQIu1aok1z,0.795,248080,0.926,4t4oqMSwwmpHzQIu1aok1z,0.0,9,0.0858,-5.034,0,0.136,104.037,4,https://api.spotify.com/v1/tracks/4t4oqMSwwmpHzQIu1aok1z,audio_features,spotify:track:4t4oqMSwwmpHzQIu1aok1z,0.798,Amiga Da Minha Mulher,Seu Jorge
7,0.118,https://api.spotify.com/v1/audio-analysis/5uf6unkyDGYdvvFSJpiuw9,0.526,200147,0.978,5uf6unkyDGYdvvFSJpiuw9,7.99e-05,11,0.971,-3.73,0,0.207,145.508,4,https://api.spotify.com/v1/tracks/5uf6unkyDGYdvvFSJpiuw9,audio_features,spotify:track:5uf6unkyDGYdvvFSJpiuw9,0.806,Vou Festejar (Ao Vivo),Beth Carvalho
8,0.45,https://api.spotify.com/v1/audio-analysis/3KVuaB6BpexCKpNjQHVxZq,0.779,188440,0.555,3KVuaB6BpexCKpNjQHVxZq,0.0,11,0.109,-10.446,0,0.255,92.075,4,https://api.spotify.com/v1/tracks/3KVuaB6BpexCKpNjQHVxZq,audio_features,spotify:track:3KVuaB6BpexCKpNjQHVxZq,0.861,"Canta, Canta, Minha Gente",Martinho da Vila e Convidados
9,0.554,https://api.spotify.com/v1/audio-analysis/20mp3n96JEEsoXUcddc8pM,0.649,199640,0.757,20mp3n96JEEsoXUcddc8pM,0.0,2,0.0988,-7.936,1,0.206,91.732,4,https://api.spotify.com/v1/tracks/20mp3n96JEEsoXUcddc8pM,audio_features,spotify:track:20mp3n96JEEsoXUcddc8pM,0.824,Conselho,Almir Guineto
10,0.842,https://api.spotify.com/v1/audio-analysis/5YRS3QQHisO1BpST3vNP2e,0.391,195600,0.792,5YRS3QQHisO1BpST3vNP2e,0.633,7,0.137,-11.605,0,0.0322,96.664,4,https://api.spotify.com/v1/tracks/5YRS3QQHisO1BpST3vNP2e,audio_features,spotify:track:5YRS3QQHisO1BpST3vNP2e,0.929,Mas Que Nada,Jorge Ben Jor
11,0.791,https://api.spotify.com/v1/audio-analysis/4xAZXioluPz9vPcTTiokOg,0.621,203093,0.799,4xAZXioluPz9vPcTTiokOg,2.31e-06,7,0.116,-7.828,1,0.0752,116.091,4,https://api.spotify.com/v1/tracks/4xAZXioluPz9vPcTTiokOg,audio_features,spotify:track:4xAZXioluPz9vPcTTiokOg,0.642,Coração em desalinho,Maria Rita
12,0.873,https://api.spotify.com/v1/audio-analysis/3XFDArxkofBMOLrc1sW0ER,0.543,236000,0.625,3XFDArxkofBMOLrc1sW0ER,2.09e-05,2,0.766,-8.324,0,0.0303,88.276,4,https://api.spotify.com/v1/tracks/3XFDArxkofBMOLrc1sW0ER,audio_features,spotify:track:3XFDArxkofBMOLrc1sW0ER,0.541,Flor de Lis - Ao Vivo,Djavan
13,0.637,https://api.spotify.com/v1/audio-analysis/50xpFmRwvrz2rHAxdYTb2v,0.62,222282,0.749,50xpFmRwvrz2rHAxdYTb2v,0.0,2,0.68,-5.96,1,0.0552,158.088,4,https://api.spotify.com/v1/tracks/50xpFmRwvrz2rHAxdYTb2v,audio_features,spotify:track:50xpFmRwvrz2rHAxdYTb2v,0.761,Pé Na Areia - Ao Vivo,Diogo Nogueira
14,0.23,https://api.spotify.com/v1/audio-analysis/4zwGrHyn5EIcc1SgbxM3fc,0.686,155573,0.814,4zwGrHyn5EIcc1SgbxM3fc,0.0,5,0.712,-6.944,0,0.16,113.37,4,https://api.spotify.com/v1/tracks/4zwGrHyn5EIcc1SgbxM3fc,audio_features,spotify:track:4zwGrHyn5EIcc1SgbxM3fc,0.837,A Grande Família - Ao Vivo,Dudu Nobre
