,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
0,0,0,0.0296,https://api.spotify.com/v1/audio-analysis/61QkubO5ny4DtTFoOaIRGg,0.591,98772,0.883,61QkubO5ny4DtTFoOaIRGg,0.8170000000000001,7,0.108,-7.527,1,0.0592,99.192,4,https://api.spotify.com/v1/tracks/61QkubO5ny4DtTFoOaIRGg,audio_features,spotify:track:61QkubO5ny4DtTFoOaIRGg,0.841,Desire,18 Carat Affair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0.0155,https://api.spotify.com/v1/audio-analysis/6pDnccriJzA9ntXMXFyjG2,0.5870000000000001,72639,0.84,6pDnccriJzA9ntXMXFyjG2,0.8140000000000001,1,0.287,-8.376,1,0.0328,111.759,4,https://api.spotify.com/v1/tracks/6pDnccriJzA9ntXMXFyjG2,audio_features,spotify:track:6pDnccriJzA9ntXMXFyjG2,0.835,Passion,18 Carat Affair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,2,0.000243,https://api.spotify.com/v1/audio-analysis/7pm2FfEU1UsP3GhbHFFb9i,0.528,164835,0.913,7pm2FfEU1UsP3GhbHFFb9i,0.8109999999999999,1,0.0858,-4.081,1,0.0445,146.297,4,https://api.spotify.com/v1/tracks/7pm2FfEU1UsP3GhbHFFb9i,audio_features,spotify:track:7pm2FfEU1UsP3GhbHFFb9i,0.66,Pizza Day,ESPRIT 空想,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,3,0.0459,https://api.spotify.com/v1/audio-analysis/2TjAHMFLFsKdXXqaePxwC6,0.522,161278,0.8440000000000001,2TjAHMFLFsKdXXqaePxwC6,0.198,10,0.365,-10.905,0,0.0428,154.654,4,https://api.spotify.com/v1/tracks/2TjAHMFLFsKdXXqaePxwC6,audio_features,spotify:track:2TjAHMFLFsKdXXqaePxwC6,0.6729999999999999,Midnight,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,4,0.228,https://api.spotify.com/v1/audio-analysis/4CwByRtQjwkrnOjWNINV0z,0.721,106581,0.7070000000000001,4CwByRtQjwkrnOjWNINV0z,0.856,11,0.087,-12.657,0,0.0518,145.623,4,https://api.spotify.com/v1/tracks/4CwByRtQjwkrnOjWNINV0z,audio_features,spotify:track:4CwByRtQjwkrnOjWNINV0z,0.61,Island,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,5,0.271,https://api.spotify.com/v1/audio-analysis/38k3otUd41zKhvUvZU7iUZ,0.609,78252,0.77,38k3otUd41zKhvUvZU7iUZ,0.921,10,0.934,-11.134,0,0.0386,110.357,4,https://api.spotify.com/v1/tracks/38k3otUd41zKhvUvZU7iUZ,audio_features,spotify:track:38k3otUd41zKhvUvZU7iUZ,0.5379999999999999,Totally Rad,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,6,6,0.0593,https://api.spotify.com/v1/audio-analysis/4d2CQtygtFEeivp2BheIYz,0.628,63669,0.83,4d2CQtygtFEeivp2BheIYz,0.962,8,0.229,-9.398,0,0.0344,181.929,4,https://api.spotify.com/v1/tracks/4d2CQtygtFEeivp2BheIYz,audio_features,spotify:track:4d2CQtygtFEeivp2BheIYz,0.968,Mall Madness,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,7,0.00593,https://api.spotify.com/v1/audio-analysis/2BYdcKIWihsbkW7sPJoC42,0.615,106749,0.75,2BYdcKIWihsbkW7sPJoC42,0.736,8,0.189,-9.895,1,0.026,110.432,4,https://api.spotify.com/v1/tracks/2BYdcKIWihsbkW7sPJoC42,audio_features,spotify:track:2BYdcKIWihsbkW7sPJoC42,0.946,Wave,luxury elite,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8,8,0.194,https://api.spotify.com/v1/audio-analysis/2ZwkmRAFbyjU06Y0BTVbAx,0.272,179775,0.8270000000000001,2ZwkmRAFbyjU06Y0BTVbAx,0.00463,3,0.758,-6.947,0,0.336,143.357,4,https://api.spotify.com/v1/tracks/2ZwkmRAFbyjU06Y0BTVbAx,audio_features,spotify:track:2ZwkmRAFbyjU06Y0BTVbAx,0.25,Summer Night,ESPRIT 空想,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,9,9,0.14400000000000002,https://api.spotify.com/v1/audio-analysis/2xLThORseBWz1hhG7eFJpM,0.59,172183,0.6859999999999999,2xLThORseBWz1hhG7eFJpM,0.8290000000000001,11,0.0999,-12.817,1,0.0339,135.855,3,https://api.spotify.com/v1/tracks/2xLThORseBWz1hhG7eFJpM,audio_features,spotify:track:2xLThORseBWz1hhG7eFJpM,0.721,Watching Your Dance,18 Carat Affair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
